provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 1 BINGKULU,30300838,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABCBE306E9A40A8333C4
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 1 MARTADAH,30300605,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43A8CAF27005ED136836
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 1 PULAU SARI,30300564,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E176064E939C19CDA452
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 1 SUNGAI JELAI,30300582,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/781D1BF565397FA27A2C
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 1 TAMBANG ULANG,30300684,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17292891CF9B8CF092D7
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 2 BINGKULU,30300837,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50E511D3A75A4FB6B5DF
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 2 MARTADAH,30300604,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/16C084C9DB85CAE8E641
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 2 PULAU SARI,30300565,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/918F19EF23B4D3FC33F0
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 2 SUNGAI JELAI,30300581,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/56A780903F4E813C0C38
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI 2 TAMBANG ULANG,30300683,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A54FC28128A940F1ABEB
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI GUNUNG RAJA,30300811,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC7496BEF7A93819065E
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI KAYU ABANG,30300827,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6FD7B124EFD7D81CD593
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SD NEGERI SUNGAI PINANG,30300580,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11CBC19AA8573EEEDF18
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SMP NEGERI 1 TAMBANG ULANG,30300636,SMP,Negeri,-,0,0,0,0,0,7,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6BFA3B36BA5065710491
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,UPTD SMP NEGERI 2 TAMBANG ULANG,30311437,SMP,Negeri,-,0,0,0,0,0,4,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9DCA66DA9EFB2BE753FE
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,SMPS AN-NAJAH PUTRA,69923437,SMP,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21EE63F4F503DA8CE907
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,SMA NEGERI 1 TAMBANG ULANG ,60702927,SMA,Negeri,23 Aug 2019 18:55:34,6,139,5,12,5,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72F2B6E8C7A78F0E9B0B
Prov. Kalimantan Selatan,Kab. Tanah Laut,Kec. Tambang Ulang,SMA An-Najah Putra,69976885,SMA,Swasta,-,0,0,0,0,0,4,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8BD23BFC472F8014ED7B
