provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD N KARANG SERANG III,20602871,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E95C874F201B75C6BEEB
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD N MEKAR KONDANG,20603005,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA066649D27DC0BD081C
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD N SUKADIRI,20603495,SD,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F0098FF6A2CE5E5FB90
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD N TUIS I,20603607,SD,Negeri,-,0,0,0,0,0,14,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18C7867D1FF51DEAD1D4
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD N TUIS II,20603608,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/355709B83BF1D0AC44C1
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD NEGERI BUARANJATI I,20604220,SD,Negeri,-,0,0,0,0,0,18,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62A0F946459CB15FF2DF
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD NEGERI BUARANJATI II,20604221,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CB9E657E93EAE4E403A8
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD NEGERI GINTUNG I,20604287,SD,Negeri,-,0,0,0,0,0,13,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D61BBE52560F01248836
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD NEGERI GINTUNG II,20604288,SD,Negeri,-,0,0,0,0,0,18,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC900BB6AF4D3CC1F61A
Prov. Banten,Kab. Tangerang,Kec. Sukadiri,SD NEGERI KARANG SERANG I,20602885,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2550427DE5C6436056FD
