provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SDN No. 101501 BINTUJU,69787486,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE34455C735933CF0219
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SDN No. 101502 MUARATAIS I,10207370,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9AA0C85A005389C3831D
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SDN No. 101503 HUTATONGA,10207369,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6413671B242CF6786E5D
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SDN No. 101504 BASILAM BARU,10207368,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0DCFA6E912CB4634E2D6
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SDN No. 101505 PANGARIBUAN,69787488,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B59F13EE4F3FA3F6C3A1
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SDN No. 101506 MUARA TAIS III,10207344,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C412162D3C02BC300E2
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SDN No. 101507 HUTATONGA,10207343,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65E805554E336F6BC062
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SDN No. 101508 MUARA,10207366,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/256E9CA90393C804682C
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SDN No. 101509 MUARA TAIS II,10207320,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1DE8B95483D422F94E2
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SMP NEGERI 1 ANGKOLA MUARATAIS,10261223,SMP,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BF0AAD9778807E7B6D5
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Angkola Muara Tais,SMP NEGERI 2 SATU ATAP ANGKOLA MUARATAIS,10262017,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/12E58DF31487C69A54A5
