provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101101 SILAIYA,69787497,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8606E5E23B9E0357C578
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101102 SIPANGE,10207328,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7BA7AC235C759EB8E84A
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101103 TOLANG JAE,10207329,SD,Negeri,-,0,0,0,0,0,7,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7395CEE6CDFDB76A941
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101104 SILAIYA,10220612,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/270EC188EC99562BB88A
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101105 SAYURMATINGGI,10207330,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FF39DCCDA15EDAA018C
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101106 SIUNJAM,10207342,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A4BBC07BD75348BEFC8
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101107 AEK LIBUNG,69762660,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C717E6D85982C7ED0020
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101108 HUTAPARDOMUAN,10207337,SD,Negeri,-,0,0,0,1,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E55B53634E4A3FC370B9
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101109 AEK BADAK,10207335,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD3B09E7FCB1DFAA9A1F
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101110  AEK BADAK,69787498,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34EFA276277A0173EB24
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sayur Matinggi,SDN No. 101111 PARMONANGAN,10207633,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B161BCA940A8DF751477
