provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101201 SIPIROK,10207033,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C3EFCEB0B92452A8A4A
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101202 SIPIROK ,10207032,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C7B5497CD1BBB722DD5C
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101203 SIPIROK,10207031,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17DBE46ACADA01FF9EA7
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101204 SIPIROK,10207030,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/82235D6D7C3D06E58CF7
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101205 PARAN PADANG,10207028,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6549111B66E3BD2A2423
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101206 SIPIROK,10207027,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54D6D7715973716E2214
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101207 PARANJULU,10207026,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CB9643776FCA352B868A
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101208 PAHAE AEK SAGALA,10207025,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FE187B24801B9F7443E
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101209 SAMPEAN,10207009,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA686264AFBFE32CD1B3
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101210 BULUPAYUNG,10207007,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABFDD65409E17425B387
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101211 AEK PAYA,10206990,SD,Negeri,-,0,0,0,1,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/197ADA59D8EFD285E8FC
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101212 PADANG BUJUR,10206988,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46DA4C59BE106751A13E
Prov. Sumatera Utara,Kab. Tapanuli Selatan,Kec. Sipirok,SDN No. 101213 BARINGIN,10206987,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/164B80045FAF8A88A1A6
