provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 153064 LOPIAN 1,10206790,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CCE8D876EA7CB865EB6E
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 153065 LOPIAN 2,10206791,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F5CC14FA30D51EF8AFE
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 153066 HUTABALANG 1,10206792,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D69FE6C2CBD55E0DF4AE
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 153067 HUTA BALANG 2,10206793,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2AF6EB7C88C8C547535A
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 154503 HUTABALANG 3,10206706,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A50EC8E1BBD149F7FF6
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 155692 HUTABALANG 4,10206738,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1681FF0513A764DBA31B
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 155693 JAGO-JAGO,10206739,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86FD50DF9697AEDEA7B9
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 157012 SITARDAS 1,10206404,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D69823FAA17935EC2AA4
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 157014 AEK HORSIK,10206403,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76071F90686B93E62FF3
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 157015 KEBUN PISANG,10206402,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFC5CE72E0F352955660
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 157016 LUBUK AMPOLU,10206406,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3360A6642F0041D17349
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 157622 GUNUNG KELAMBU,10206428,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF34F823484CC1984455
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 157623 PAGARAN HONAS,10206429,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/80A4A790320CF84D2079
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 157625 HUTABALANG 5,10206432,SD,Negeri,-,0,0,0,0,0,6,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/701AA8035DEC0D5FFC0A
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 158352 SITARDAS 2,10206557,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A4F4889573AABE211C3C
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SD NEGERI 158466 HUTABALANG 6,10206588,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC6E0531ACC33374AB6D
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SMP NEGERI 1 BADIRI,10206510,SMP,Negeri,-,0,0,0,0,0,22,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46DBBC8861CDEB2C4242
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SMP Negeri 2 Satu Atap Badiri,69762755,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/42D3F223574784FB2A46
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SMPN 3 BADIRI,69870685,SMP,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/882A7AD136839C1BA7A2
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SMP SWASTA ISLAM TERPADU AL-MUNAWWAR,69840997,SMP,Swasta,22 Aug 2019 04:38:20,3,127,6,11,1,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D4919C775AE70155CCB
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SMA Islam Insan Cendekia Badiri,69989188,SMA,Swasta,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4BCD918556CA556EACC7
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Badiri,SMKN 1 BADIRI,10260526,SMK,Negeri,-,0,0,0,0,0,18,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB9A977492F17A43B46A
