provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 153020 SUGA-SUGA 1,10206767,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28011931F57CE4D73FA2
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 153021 PASARIBU TOBING 1,10206768,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/06F1B7A24BC32AB2CAFC
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 153022 MAKMUR,10206769,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFAB7030215D6C169A4B
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 153025 SIMARGARAP,10206772,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BCCDF3EFB63E4064CFC7
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 153026 SIPAKPAHI,10206773,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6A2720DA2BC1F2EF4E2
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 154511 SUGA-SUGA 2,10206714,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D6A3C0A28AAF6642F0A0
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 155695 SIMARGARAP 2,10206451,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/929188B06BD0E51E127E
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 155696 AEK NADUA,10206465,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8A00677EA36E4685E64
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 155697 PASARIBU TOBING 2,10206466,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1400246A41CC44824AD
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 155698 SUKAMAJU 1,10206467,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C64AAF574AF19E14A2D
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 156310 SIDALING 1,10206492,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B037FBCD723152A4C0CF
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 157626 SIPAKPAHI HUTARI,10206433,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36CDC1A2D14D2B6156F7
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 157627 SUKAMAJU 2,10206434,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8EC62C975C47DF0B799A
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SD NEGERI 158462 SIDALING 2,10206573,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D52E275B37E54189805
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SMP NEGERI 1 PASARIBUTOBING,10206543,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B413CB788961D24BE35
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SMP NEGERI 2 PASARIBUTOBING,10206511,SMP,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61B29321D30B826E5F49
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SMP NEGERI 3 SATU ATAP PASARIBUTOBING ,69754772,SMP,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D23D7D65B3E5F859DB20
Prov. Sumatera Utara,Kab. Tapanuli Tengah,Kec. Pasaribu Tobing,SMAN 1 PASARIBU TOBING,69870689,SMA,Negeri,-,0,0,0,0,0,7,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBA38E5EEC33747DA83D
