provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N 3 CISAYONG,20210563,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50A0AF3A1702EBF545D1
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N CIGOROWONG 1,20210360,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4652451019E7CE557E4B
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N CILEULEUS 1,20210645,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F3F7B844CC08D2F8A029
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N CILEULEUS 2,20210646,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A4CEB6FBE277A05DCF42
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N CILEULEUS. INP.,20229297,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B04D1F8236A6FA2DEA6
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N CISAYONG I,20210565,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E678A7C8EDA0F9496A4
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N LANGENSARI,20210146,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/53D71FD43F8E7126E697
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N LEUWIBODAS,20210028,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B36644FF7F1E877CCB4A
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N MEKARWANGI,20210045,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/130D4B86BD7F8619ACC5
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N NUSAWANGI 2,20210261,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D81D1779C89185DFBEBC
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N NUSAWANGI 3,20210269,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7FDAAAD45C472E56EC3C
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N SINDANGSARI.INP,20229431,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BD05F0F8A1A46141B5A8
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N SUKAJADI 4,20210874,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/621C17FE3C6BD3B6148A
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N SUKAMUKTI,20210897,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27569F75299AC851BFBE
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N SUKARAHARJA,20210887,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84C3C5C6BF90513C7867
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N SUKARAME,20211003,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09186035115F8892D61E
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N SUKASARI,20210990,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA3A85D806FD2F0E54DC
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N SUKASETIA,20211020,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/57BB9A0ED25EC9B48121
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD N SUKASUKUR,20211025,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51EE853ED48702A54614
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD Negeri 3 Cigorowong,20210367,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18982F3950603A2155C2
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI 4 CISAYONG,20210562,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/291752C54DE7A59CC67F
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI CIGOROWONG,20229289,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA8ACC929C60049CA6A9
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI CIGOROWONG 2,20210368,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF9808B6CFDF64317D22
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI CIKADU 1,20210424,SD,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83ACA41A85ACE6D0AF16
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI CIREUNGIT,20210550,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69586E00A83E1D006EFD
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI JATIHURIP,20210102,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1BDFF13DA0EF306E7CF9
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI NEGLA,20210300,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8BCBDC245F15161BCBA6
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI NUSAWANGI,20229376,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B14E70ECF93D031C4E7
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI SINDANGRERET,20210228,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96AAD723D77CDDDECF59
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI SINDANGSARI,20210920,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFE7B07270B8AECDD940
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI SUKAJADI 1,20210877,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B1ED382D2559ACD6E5C
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD NEGERI SUKAMULYA,20229458,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0EA548DF3C85AF1D8963
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SDN 1 NUSAWANGI,20210262,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44D49C7BC3F54ECE0BA2
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SDN 2 CISAYONG,20210564,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B423D8FC2284F67F127
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SDN 2 SUKAJADI ,20210876,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B117E16540CD9549F66A
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SDN 3 SUKAJADI,20210875,SD,Negeri,22 Aug 2019 09:26:31,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/023509314E8A6D15F09C
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD ISLAM TERPADU AL-IDRISIYYAH,69922596,SD,Swasta,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D7BE52FFBE44EA2F22F
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SD Nurul Qomar,20270330,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ACF39524016A22DD0A70
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SDIT MATHLAUL FALAH,69888755,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/230AC8310FE2007DAC33
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMPN 1 CISAYONG,20210842,SMP,Negeri,-,0,0,0,0,0,34,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF5B5CA62EA5CAC680B4
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMPN 2 CISAYONG,20210785,SMP,Negeri,-,0,0,0,0,0,10,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0DD8D402F9EED2C7EED5
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMPN 3 CISAYONG,69964332,SMP,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6CA1DA4E3EB0AA3CD832
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMP NURUL QOMAR,20252909,SMP,Swasta,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC7CEF64BB6AF167E576
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMP Terpadu Al-Istiqomah,20271669,SMP,Swasta,-,0,0,0,0,0,3,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70DC5948E90430AAF058
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMP YAPIDA CISAYONG,20210835,SMP,Swasta,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4AA7F6D79860C4E476C0
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMAN 1 CISAYONG,69881559,SMA,Negeri,-,0,0,0,0,0,21,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6242B1C2DAF6A74B53DC
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMK IGASARPINDAD,69873570,SMK,Swasta,-,0,0,0,0,0,16,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F9768AA8CAFF3AF08714
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMK IT MALIK AL-FATH ,69934906,SMK,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DC9F0CF553EFAE265D75
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMK TERPADU AL ISTIQOMAH,69788583,SMK,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FC33FB7051A9071E8BA
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMKS 3 LPPMRI CISAYONG,20279871,SMK,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/683860FAFDFBDB59D708
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMKS DAARUL ABROOR,20244752,SMK,Swasta,-,0,0,0,0,0,19,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62FCEA35F89D11B18403
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SMKS FADRIS,20244750,SMK,Swasta,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD3C85DD02A2E6D799B3
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Cisayong,SLB DARUSSALAM ,69985006,SLB,Swasta,-,0,0,0,0,0,2,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D6AD06C8C9F0085E027A
