provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SD N MEKARSARI,20210040,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C7AEFF715701F84EDCE
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN 1 TAWANG ,20210975,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDA4CBEC01A533CBCA99
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN 2 TAWANG,20210974,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/661431C7CAEBA66DBC79
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN BAYUASIH,20210441,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E8ACD8C034F49093E25
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN CIBUNIASIH,20210357,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9058423B60EC6B94B0A8
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN CILILITAN,20210654,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E77398D74395D6969EDF
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN CIPANENGAH,20210660,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B15AAE4C11CC09C44E2
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN GANDAMEKAR,20210601,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/58099BDA967185AB8763
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN KARYAMUKTI ,20210158,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F36B292615C1C25893C
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN KERTAWANA,20210147,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4767E68CD854FBAC9FC3
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN MANDALAMEKAR,20209970,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B7E2ED20E6CDB660C5C
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN MARGALUYU,20210051,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C84608329E1F50F6ACC
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN MEDANGHARUMAN,20210034,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2518EC82496112369CEF
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN NEGLASARI,20210298,SD,Negeri,22 Aug 2019 20:39:12,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE2D5EE122A61BFD85F7
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN PANCATENGAH,20210335,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/04056B33503EBC3A905F
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN PANCAWANGI,20210336,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B5B9D3B1FC1E73B56CD
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN PANGLIARAN,20229390,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B868DF255C927E0C61E
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN PASIRUCING,20210197,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F334CD941BB5547D516E
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN RAHAYU,20210177,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61DFE26C327F685A01C9
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN SINDANGJAYA,20229426,SD,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF9AA8248321A22E08C0
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN SINDANGRERET,20210227,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A39365BA4C5C9C68C835
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN SINDANGSARI,20229430,SD,Negeri,22 Aug 2019 12:51:54,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D21D332D5D860E69A2F7
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN SINDANGWANGI,20210916,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE49408621458D384168
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN SIRNASARI,20210935,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B86E0EDB3952F62E930
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Pancatengah,SDN SUKAHURIP,20210903,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2804E247FE922CC5A06A
