provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD N BOJONG,20210455,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/503664D79B75C9EAFEE9
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD N CIDEENG,20210352,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14FA82176BF62AF0FB34
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD N CIGOWAK 1,20210366,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FC3AE0D5D3C28A7C54F
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD N CIGOWAK 2,20210365,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C432EEE983E473376CD
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD N CILOLOHAN,20210651,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0634A806CB834FC02C19
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD N II TANJUNGJAYA ,20210951,SD,Negeri,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDBC66449F6915349F55
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD N PASIRJAYA,20210318,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94A18EE2EA95C02E4954
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD NEGERI 2 CIBALANARIK ,20210435,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/26C9C843663E3836DD96
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD NEGERI CILILITAN,20210653,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6CC164A79406D78E2068
Prov. Jawa Barat,Kab. Tasikmalaya,Kec. Tanjungjaya,SD NEGERI CINTAJAYA,20210701,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF34D4454EB99503C9FF
