provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 010/VIII TUO SUMAY,10503537,SD,Negeri,26 Aug 2019 20:55:32,9,222,8,11,2,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B481DD301050F1AEBB5F
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 019/VIII PUNTI KALO,10503546,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F240D9D4A56DF58689DC
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 044/VIII TELUK SINGKAWANG,10503191,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61C285E8C4143CEF6162
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 067/VIII MUARA SEKALO,10503199,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2ACE6059FD75839E01BC
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 068/VIII TERITI,10503215,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B429A5B88797AF3F577C
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 086/VIII TAMBUN ARANG,10503203,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/974D685175918311BC36
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 087/VIII TELUK LANGKAP,10503204,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D9A4FF050B08FD4FEA9
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 088/VIII SUO-SUO,10503205,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A05DFE793FB71F698F8C
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 102/VIII TELUK SINGKAWANG,10503131,SD,Negeri,26 Aug 2019 09:45:16,3,115,6,8,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F59BAC316C8C9C14D29
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 113/VIII JATI BELARIK,10503112,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D4335029E1097A548E9
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 116/VIII PEMAYUNGAN,10503108,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC4C5CA7B27CE85547D5
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 129/VIII SEMAMBU,10503158,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D63BD086A31C9656B85A
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 130/VIII TAMBUN ARANG,10503159,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15D0DE66F2FCD7782786
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 131/VIII ULAK BANDUNG,10503160,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4A2546F0758DC6E4814
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 140/VIII BANO REJO,10503154,SD,Negeri,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7892206C81788EBCFD00
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 150/VIII LEMBAK BUNGUR,10503149,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D6FAAFD9AF0C058021CD
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 167/VIII SIMPANG 3 SUO-SUO,10503316,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/612C555774302DBA9D0E
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 210/VIII TANJUNG DANI,10503329,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4022C9C73B61E3858B1
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 211/VIII MARGODADI,10503340,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4879FF0A14A85DA75AD
Prov. Jambi,Kab. Tebo,Kec. Sumay,SD NEGERI 217VIII BUKIT HARAPAN,10505195,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C71BA404998F71EA30B
Prov. Jambi,Kab. Tebo,Kec. Sumay,SMP NEGERI 15 KABUPATEN TEBO,10503284,SMP,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F500FA38835207FD94BE
Prov. Jambi,Kab. Tebo,Kec. Sumay,SMP NEGERI 43 KABUPATEN TEBO,10505172,SMP,Negeri,26 Aug 2019 14:45:15,4,47,2,9,4,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89AF3619D50AC9221A3B
Prov. Jambi,Kab. Tebo,Kec. Sumay,SMP NEGERI SATU ATAP JATI BELARIK,10505993,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/41A7AB01436C4260F045
Prov. Jambi,Kab. Tebo,Kec. Sumay,SMP NEGERI SATU ATAP SEMAMBU,69969492,SMP,Negeri,-,0,0,0,1,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF9CFD516C194217FA23
Prov. Jambi,Kab. Tebo,Kec. Sumay,SMP NEGERI SATU ATAP TUO SUMAY,10505997,SMP,Negeri,23 Aug 2019 22:36:57,5,77,3,8,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54ED425A619FD474B373
Prov. Jambi,Kab. Tebo,Kec. Sumay,SMAN 8 TEBO,10503255,SMA,Negeri,26 Aug 2019 14:04:12,0,0,0,0,0,11,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/45554C689DCD90C7D49E
Prov. Jambi,Kab. Tebo,Kec. Sumay,SMKN 9 TEBO,69984536,SMK,Negeri,-,0,0,0,0,0,6,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F83F0F23EDB0258E5CAD
Prov. Jambi,Kab. Tebo,Kec. Sumay,SMKS BINA BANGSA SUO SUO,10508366,SMK,Swasta,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B4A3D7FC303D9DC4B18
