provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 002/VIII TELUK LANCANG,10503499,SD,Negeri,26 Aug 2019 11:31:35,1,103,6,8,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED7C8CC06F2DD9B3F714
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 003/VIII TELUK KAYU PUTIH,10503500,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD108A813DD38A74598E
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 004/VIII AUR CINO,10503501,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/24B14DCF3DEDCC530A2D
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 020/VIII SUNGAI ABANG,10503547,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BD192C87B879846D3B10
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 026/VIII KUAMANG,10503523,SD,Negeri,-,0,0,0,0,0,21,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ADB01D46511BF658BCA0
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 034/VIII MUARA TABUN,10503531,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D354247E3F532B592B7
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 040/VIII TABUN,10503187,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1713A736B8F45CB2E38
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 056/VIII AUR CINO,10503173,SD,Negeri,-,0,0,0,0,0,16,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/14609BD4066D343C8DCD
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 057/VIII TELUK KAYU PUTIH,10503174,SD,Negeri,23 Aug 2019 07:05:34,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C2EF5F59914C1FB7151
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 058/VIII PUCUK JAMBI,10503175,SD,Negeri,26 Aug 2019 22:24:44,2,149,7,9,2,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44012BFC208C32E6A224
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 100/VIII MUARA NIRO,10503129,SD,Negeri,26 Aug 2019 12:06:47,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B1E7CF414E63D0D71FB
Prov. Jambi,Kab. Tebo,Kec. VII Koto,SD NEGERI 109/VIII DUSUN BARU,10503125,SD,Negeri,26 Aug 2019 12:16:38,1,98,6,8,2,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A23A051744B883690608
