provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 10 AMPANA KOTA,40203396,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B9DD9668BB47FC97F31
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 12 AMPANA,40203395,SD,Negeri,-,0,0,0,0,0,13,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97952F97677B16EDB07A
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 14 AMPANA KOTA,40203393,SD,Negeri,-,0,0,0,0,0,9,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44EDCA9D5E0288807D80
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 15 AMPANA KOTA,40203392,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/199CC0D1DE53CAFE7355
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 18 AMPANA KOTA,40203389,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E32F4F2F806A2D0EAE57
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 19 AMPANA KOTA,40203375,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B7FCFB4F788847A9495
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 21 AMPANA KOTA,40203480,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69E7C01D5D5D82BC0268
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 23 AMPANA KOTA,40203478,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A90043DD1EF7185CDCED
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 26 AMPANA KOTA,40203437,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1A6DB3F318A123D762E6
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 3 AMPANA KOTA,40203435,SD,Negeri,-,0,0,0,0,0,16,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC46577632C2B3325EDE
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 5 AMPANA KOTA,40203461,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C1793101E44520F56FD4
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 6 AMPANA KOTA,40203449,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4B6E6D021E00128A26A
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 8 AMPANA,40203447,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FBB76350069AE1A10C9
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI 9 AMPANA KOTA,40203446,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4CB5B8581B2E530872FE
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI SABULIRA,40203263,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/71255884337565686140
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SD NEGERI SUMOLI,40203271,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37F08E4849DCE348D1C5
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SMP NEGERI 2 AMPANA KOTA,40203362,SMP,Negeri,-,0,0,0,0,0,10,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC02B407A0AA72551AFA
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SMP NEGERI 3 AMPANA KOTA,40203319,SMP,Negeri,-,0,0,0,0,0,19,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18B632E9EEEF9BB50E08
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SMP ALKHAIRAAT,40203360,SMP,Swasta,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92C9BA390F288AD0BAB3
Prov. Sulawesi Tengah,Kab. Tojo Una-Una,Kec. Ratolindo,SMKN 1 AMPANA KOTA,40203328,SMK,Negeri,-,0,0,0,0,0,32,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C04C4051C21150F170D9
