provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 BULUAGUNG,20541941,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C6FC3C5270B7D8293CBE
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 JATI,20541960,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/69EDEFAD0F418BF469F8
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 JATIPRAHU,20541961,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50D713DA6CB2BF17DB40
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 KARANGAN,20541965,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4EDF83A687B8595DB465
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 KEDUNGSIGIT,20541975,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D193756D731C9391D6CD
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 KERJO,20541978,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90B0B3BA42BCD1678AF5
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 NGENTRONG,20541992,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40117ABC96DADA44AD35
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 SALAMREJO,20542023,SD,Negeri,23 Aug 2019 21:17:28,1,40,6,8,3,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4EDD47AA8A164FF2B97E
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 SUKOWETAN,20542039,SD,Negeri,-,0,0,0,0,0,7,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD1F14CD7DFC8C0CD88C
Prov. Jawa Timur,Kab. Trenggalek,Kec. Karangan,SD NEGERI 1 SUMBERINGIN,20542045,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/397FB0E12A6259D63558
