provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI BANYUURIP I,20505791,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A8247F321228E8E4D498
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI BANYUURIP II,20505790,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0190DB24441E36FF438F
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI JATISARI I,20505566,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD2220263E97D729B664
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI JATISARI III,20505564,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/383AACC525EB4EC6CD8B
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI KALIGEDE I,20505651,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B4C53625B2EB7D2486C
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI KALIGEDE II,20505650,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2261A7148D635F391B8
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI KATERBAN,20505662,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4DC2038714BD982C6D2
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI LERAN,20504903,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D524D7C77A1A1B7F83AD
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI MEDALEM I,20504896,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48206543B744199BA95D
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI MEDALEM II,20504895,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/65A5BEAAF8FD730F8FFA
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI RAYUNG I,20504764,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE51337B9438DDCA6A64
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI RAYUNG II,20504763,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F42E5F986138F3523DEF
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI RAYUNG III,20504762,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2978C92DDCF28068AFE0
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI RAYUNG IV,20504761,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C2F2F3C9ADBFEFD73942
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI SENDANG I,20504836,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A009C354C222D0C8DE5F
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI SENDANG II,20504819,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C183D8E0B6B0CEDD2D6
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI SIDOHARJO I,20504809,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF380477060D28FC6479
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI SIDOHARJO II,20504808,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D84992592495ABC487F
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI SIDOHARJO III,20504807,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D54AFD514783096EE5CE
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI WANGLUKULON I,20505051,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40FBED630E3C77A9D195
Prov. Jawa Timur,Kab. Tuban,Kec. Senori,SD NEGERI WANGLUKULON II,20505050,SD,Negeri,-,0,0,0,0,0,3,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38F25479D7B0372D3789
