provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 MARGA SARI,10808648,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC93AF9D1DCBE59CD380
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 MARGO DADI,10808032,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5B2BB0DFE535DB92E43
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 MARGO MULYO,69775301,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE08CD4DC79690091434
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 MULYO SARI,10808033,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/515720111F12A0697B5B
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 PANCA MARGA,10808680,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/064242D954AA3D9E8D17
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 SAKTI JAYA,10808700,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B41D26D5D977E3D4015
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 SIDO MAKMUR,10809616,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55C7C68B7E8EED00C804
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 TOTO KATON,10808744,SD,Negeri,23 Aug 2019 02:49:47,5,297,11,12,1,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0DB257D2CFA998B8A4EB
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 TOTO MAKMUR,10808136,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FC03CA55273B151F550
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SD N 1 TOTO WONODADI,10809635,SD,Negeri,-,0,0,0,0,0,8,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF6C5D7042182D35FA3A
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SMP N 1 BATU PUTIH,10809221,SMP,Negeri,-,0,0,0,0,0,9,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F2881353E1DECD38059
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Batu Putih,SMP N SATU ATAP 1 BATU PUTIH,69759049,SMP,Negeri,-,0,0,0,0,0,3,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A078CB0E7EE4938692E
