provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 CANDRA JAYA,10809644,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/470205A36C29DC540651
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 CANDRA KENCANA,10808589,SD,Negeri,23 Aug 2019 15:59:10,2,126,6,10,2,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94A4C6093C270FCCC480
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 CANDRA MUKTI,10808786,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/709304B7388DE1FD75E7
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 MARGA ASRI,10808153,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8352785F2D28F4DFF4FC
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 MEKAR ASRI,10808169,SD,Negeri,-,0,0,0,0,0,15,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/650C2446098B9BE3F607
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 MENGGALA MAS,10808660,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC9777574DC8D2FEA9C0
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 MULYA ASRI,10808668,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/884B72BD60C627338D3A
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 MULYA JAYA,10809611,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08AD6BBF54C58613CE10
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 MULYA KENCANA,10808670,SD,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54463F6B116B5DCD9197
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 PANARAGAN,10808676,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59703FE72095AFF61511
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 PANARAGAN JAYA,10808677,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1DE9880542560F098145
Prov. Lampung,Kab. Tulang Bawang Barat,Kec. Tulang Bawang Tengah,SD N 1 PANARAGAN JAYA INDAH,10809684,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CB7B34B2A9BA436703DF
