provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 201 WEWANGREWU,40303527,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/620997C4F2F807C26478
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 214 BARU TANCUNG,40303418,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6FCC84D26E70E45E9F1
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 215 TONRALIPUE,40303435,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/06E7880DBF150F17800E
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 23 ASSORAJANG,40303434,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C70D85D198CBD24BCB3E
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 24 PAKKANNA,40303428,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A6DD8DFB1D7C342F56B
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 25 NEPO,40303482,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6FDEB95A53B9C6E00E0
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 26 PAJALELE,40303476,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55BB2FEE840883CEB052
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 265 ASORAJANG,40303467,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC3E213167E37C26562E
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 266 PAKKANNA,40303468,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0C5E693C42E5F9831A6
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 267 PINCENGPUTE,40303469,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50CCBD0C581BA4D1B731
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 268 MAPPADAELO,40303470,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62292CB5C1E68FCDA249
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 269 MANNAGAE,40303471,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/404F9D3CF23E25C9383F
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 27 BARU TANCUNG,40303472,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B319BD91D2F8DB850A2
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 270 WEWANGREWU,40303473,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A38227FD3DA91580C50E
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 271 MARIO,40303474,SD,Negeri,24 Aug 2019 00:03:49,12,105,6,8,3,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B73FBDCC48AC4B63827
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 28 PINCENGPUTE,40303101,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/58B0E9A0065D323A8112
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 29 TANCUNG,40303110,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E160E1A44F4C5B0FB7E
Prov. Sulawesi Selatan,Kab. Wajo,Kec. Tanasitolo,SD NEGERI 30 MAPPADAELO,40303089,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F294595EBE2E6051D96D
