provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 029 CILENGKRANG KOTA BANDUNG,20245494,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74ADBEE35DBABB8BBBD5
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 050 CIBIRU KOTA BANDUNG,20245488,SD,Negeri,-,0,0,0,0,0,19,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2223F9C77AADDF19FF45
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 090 CIBIRU KOTA BANDUNG,20245487,SD,Negeri,-,0,0,0,0,0,21,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4561E4D61E8D86BEDC34
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 102 CIKUDAYASA KOTA BANDUNG,20245492,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B34DA5E964DED62D4C54
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 124 HANURA KOTA BANDUNG,20245586,SD,Negeri,-,0,0,0,0,0,10,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D12A4B71A0F2557C4BD
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 125 TARUNA KARYA KOTA BANDUNG,20245811,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE577D0CAAAB18794F73
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 152 CIGAGAK KOTA BANDUNG,20245838,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A22181F634C9FC1D2DE7
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 153 TARUNA KARYA KOTA BANDUNG,20245812,SD,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD3616153A98A41457CE
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 168 CIPADUNG KOTA BANDUNG,20245500,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17444EAFF6FAD878CB0D
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 169 PELITA KOTA BANDUNG,20245747,SD,Negeri,-,0,0,0,0,0,24,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A7D7D03C0F47FA3A36DA
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 186 CIPADUNG KOTA BANDUNG,20245498,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/818DCD59BC8E93D15847
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SDN 247 SUKAPURA KOTA BANDUNG,20258124,SD,Negeri,-,0,0,0,0,0,23,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76751B5E33D7116433C8
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SD INTAN AL-SALI,69952860,SD,Swasta,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B26E69F561429513DED
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SD TERPADU KRIDA NUSANTARA,20246469,SD,Swasta,-,0,0,0,0,0,14,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/389790152E5591384CD4
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMP NEGERI 46,20219383,SMP,Negeri,-,0,0,0,0,0,33,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/32CB9DF1EB1FBFA5E01B
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMP AL ISLAM,60725413,SMP,Swasta,-,0,0,0,0,0,22,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15DF51DCEAE506B8F6E3
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMP BANDUNG INSTITUT,20219186,SMP,Swasta,22 Aug 2019 20:51:30,3,87,4,10,2,3,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EEA45A26B08E0662848B
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMP BINA PERSADA NUSANTARABPN,20219204,SMP,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C3A91B125C7959061DA
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMP KARYA BHAKTI,69899928,SMP,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27FE36466DE04CCCDB20
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMP MUSLIMIN 5,20219506,SMP,Swasta,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F152D1FB2F1DDBB0B73
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMAN 26 BANDUNG,20219233,SMA,Negeri,-,0,0,0,0,0,28,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76408076E9B886F2E441
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMAS AL ISLAM,20265517,SMA,Swasta,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8CD939E279BDDF82B6DD
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMAS BPN,20219723,SMA,Swasta,-,0,0,0,0,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A81F934A98D886405D47
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMAS KIFAYATUL ACHYAR,20219732,SMA,Swasta,-,0,0,0,0,0,6,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2372160A0A81F256D504
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMAS KRIDA NUSANTARA,20219270,SMA,Swasta,-,0,0,0,0,0,36,8,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FEB5D6098E75891111D8
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMAS MUHAMMADIYAH 4,20219804,SMA,Swasta,-,0,0,0,0,0,15,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B15BAC90D077E5B5D71
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMKS AMAL BAKTI,60726116,SMK,Swasta,-,0,0,0,0,0,4,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E4607D25618C2783BDB
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMKS KARYA BHAKTI,20219296,SMK,Swasta,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6D6899E301CB26718CF
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMKS KIFAYATUL ACHYAR BANDUNG,20219232,SMK,Swasta,-,0,0,0,0,0,4,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/06B8D07F9DB200CFD659
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMKS MUHAMMADIYAH 2 CIBIRU,20219173,SMK,Swasta,-,0,0,0,0,0,19,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/582DFEC4F3BE54A2DE5D
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SMKS PLUS AL GHIPARI,20265541,SMK,Swasta,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D83602592E04D89A52F
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SLB ABCDE LOB,20280599,SLB,Swasta,-,0,0,0,0,0,15,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89A1152911E96E35341D
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SLB B SILIH ASIH,20219864,SLB,Swasta,-,0,0,0,0,0,18,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E166516ED5A7D0AAEAE1
Prov. Jawa Barat,Kota Bandung,Kec. Cibiru,SLB C SILIH ASIH,20219882,SLB,Swasta,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D1B678E664BA72C146B
