provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SD NEGERI 1 BAADIA,40402793,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1409A5899685D500441F
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SD NEGERI 1 LAMANGGA,40402791,SD,Negeri,-,0,0,0,0,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83DB6A058B7C731101E1
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SD NEGERI 1 WAJO,40402819,SD,Negeri,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7DDA461696C70EFA43C
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SD NEGERI 2 BAADIA,40402821,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/93B546B25F9C4B3258C9
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SD NEGERI 2 LAMANGGA,40402807,SD,Negeri,-,0,0,0,0,0,17,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A7E9FCAF280A0B7877C
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SD NEGERI 2 WAJO,40402812,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABBE4724BA62E3D25326
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SD NEGERI 3 LAMANGGA,40402828,SD,Negeri,-,0,0,0,0,0,5,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B3C012C2A14118284FB9
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SD NEGERI KERATON,40402788,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9609E6E6C06FA97F3C13
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMP NEGERI 2 BAUBAU,40402759,SMP,Negeri,-,0,0,0,0,0,38,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54BBA01438CE33F1DE73
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMP NEGERI 3 BAUBAU,40402760,SMP,Negeri,-,0,0,0,0,0,37,4,3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59679D3BB08C0D40234B
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMP NEGERI 4 BAUBAU,40402761,SMP,Negeri,-,0,0,0,0,0,56,6,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE68060E2BF6D4B08BAF
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMP NEGERI 7 BAUBAU,40402764,SMP,Negeri,-,0,0,0,0,0,16,2,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E13B02B76C52A8127B35
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMPS BATARAGURU,40402778,SMP,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28339966914285B29374
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMPS MUTIARA,40402766,SMP,Swasta,-,0,0,0,0,0,5,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CF0745FAD9FB4BA4111
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMAN 2 BAU-BAU,40402768,SMA,Negeri,-,0,0,0,0,0,41,7,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8FC02E06D9DC7233B9E4
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMAN 4 BAU-BAU,40402770,SMA,Negeri,-,0,0,0,0,0,35,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EE2F9ECA8619105DF5D0
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMAS BATARA GURU BAU BAU,40402771,SMA,Swasta,-,0,0,0,0,0,13,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E43339CCF8527FAE8770
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMAS MUTIARA BAUBAU,40402981,SMA,Swasta,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D008178DEE08571482E7
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMKN 1 BAUBAU,40402774,SMK,Negeri,-,0,0,0,0,0,51,4,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13BF362A5A20CA11731D
Prov. Sulawesi Tenggara,Kota Baubau,Kec. Murhum,SMKN 3 BAUBAU,40402776,SMK,Negeri,26 Aug 2019 22:03:42,4,814,28,60,7,32,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4AB667C3107F696DDE7F
