provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 15 KOTA BENGKULU,10702550,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/819C8EB2FCE5EDEBAA5F
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 18 KOTA BENGKULU,10702565,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72BAB14D1387BDFFE2ED
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 19 KOTA BENGKULU,10702564,SD,Negeri,-,0,0,0,0,0,12,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8079E9E6C31743C0ACC
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 29 KOTA BENGKULU,10702553,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2D5A004DD09776D9938E
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 32 KOTA BENGKULU,10702664,SD,Negeri,26 Aug 2019 16:15:35,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F1F92728A215A1A65457
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 34 KOTA BENGKULU,10702645,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D67F8904100B21D7CC6F
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 36 KOTA BENGKULU,10702642,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1EFE2E4EA8B9C1FAFDAF
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 38 KOTA BENGKULU,10702639,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA8A06B05483A86B079D
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 40 KOTA BENGKULU,10702637,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/013DC52994896E8EDCC8
Prov. Bengkulu,Kota Bengkulu,Kec. Ratu Agung,SD NEGERI 43 KOTA BENGKULU,10703114,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF85EFA61668DBBD30C1
