provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SD INPRES 1279 WANGURER,40103043,SD,Negeri,-,0,0,0,0,0,12,0,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB8B3C46F50BF522DABC
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SD INPRES 581 MADIDIR,40103468,SD,Negeri,-,0,0,0,0,0,11,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68A87439DFAF8FE167FC
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SD NEGERI ERPAK WANGURER,69727852,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3C465F5A83892B0693C
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SD NEGERI INPRES 675 MADIDIR,40103051,SD,Negeri,-,0,0,0,0,0,12,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6DE9A9374A67C9F5CD35
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SD NEGERI INPRES 680 WANGURER,40103052,SD,Negeri,-,0,0,0,0,0,13,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B691E4155054CA3A79EB
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SDN INPRES 684 MADIDIR,40103038,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7172A477733DE30817F5
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SD GEREJA PANTEKOSTA BEREA,40103632,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/189073EC413526605A0F
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SD GEREJA PANTEKOSTA SMIRNA WANGURER,69889011,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C829D2EC14DCA11EB45
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SD GMIM 22 WANGURER,40103124,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/33026461703C22FAFE1D
Prov. Sulawesi Utara,Kota Bitung,Kec. Madidir,SD GMIM I MADIDIR,40103103,SD,Swasta,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/586FF4BA6ACEEB1862C2
