provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SD NEGERI 070990 ULU BOUSO,10207909,SD,Negeri,23 Aug 2019 01:02:54,2,57,6,13,1,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4994C02653EFA4C95CD0
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SD NEGERI 070999 TARAKHAINI,10207905,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/841BAA0C6AEA83FE3448
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SD NEGERI 071010 FADOROYOU,10207924,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/02C7908BF7023BD23DFC
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SD NEGERI 071015 ALO OA,10258796,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7AFAB042E7EC3FD65F8B
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SD NEGERI 071031 NAZALOU,10258947,SD,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F721083981C686FE2119
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SD NEGERI 076059 LOLOLAWA,10258840,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B40229FF7C775438A8B
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SD NEGERI 076674 ORAHILI TANOSE O,10258805,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10B2DBFF03ECF8052806
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SD NEGERI 078131 NIKOOTANO DAO,10258066,SD,Negeri,23 Aug 2019 20:24:55,1,81,6,11,1,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A091E948F497F36FE54
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SD NEGERI 078462 IRAONOLASE,10258807,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D8C2518236DAFBA4F74
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SMP NEGERI 1 GUNUNGSITOLI ALOOA,10212743,SMP,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FBE9359EB8A9D9797B1
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SMP NEGERI 2 GUNUNGSITOLI ALOOA,10258408,SMP,Negeri,-,0,0,0,0,0,4,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7F936AA29ED54AC9623A
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SMP NEGERI 3 GUNUNGSITOLI ALOOA,10262020,SMP,Negeri,23 Aug 2019 16:47:54,5,121,6,14,2,8,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C2B9EA58F0E4D02601EC
Prov. Sumatera Utara,Kota Gunungsitoli,Kec. Gunungsitoli Alooa,SMK NEGERI 1 GUNUNGSITOLI ALOOA,10264638,SMK,Negeri,-,0,0,0,0,0,10,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4EBD8998BC7BA187BF74
