provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI ANGKE 01 PAGI,20105139,SD,Negeri,-,0,0,0,0,0,15,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AB7AE3D4BED1DB0B3396
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI ANGKE 03 PAGI,20102028,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68940334C93722FAA31B
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI ANGKE 05 PAGI,20105143,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A45C31DA84D5ED23BC73
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI DURI UTARA 02 PETANG,20102100,SD,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B0B75EA76519E563CBE
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI DURI UTARA 04 PETANG,20105209,SD,Negeri,-,0,0,0,0,0,7,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F091ABF35C0E9F6E4E11
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI TAMBORA 01 PAGI,20105532,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D788B96C0F3CE6A32F2F
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI TAMBORA 02 PETANG,20105533,SD,Negeri,-,0,0,0,0,0,9,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B13005ABECD299DFF1A
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI TAMBORA 03 PAGI,20105534,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/414FB39816ECF6837197
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI TANAH SEREAL 01 PAGI,20105535,SD,Negeri,-,0,0,0,0,0,8,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ECECEE1CCAC78D8F02BA
Prov. D.K.I. Jakarta,Kota Jakarta Barat,Kec. Tambora,SD NEGERI TANAH SEREAL 03 PAGI,20105537,SD,Negeri,-,0,0,0,0,0,9,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F15A3F82A79537316E38
