provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 009IV JAMBI,10504868,SD,Negeri,-,0,0,0,0,0,19,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AC474E1FE6FF59807166
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 015IV JAMBI,10504874,SD,Negeri,-,0,0,0,0,0,21,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A3287205AD402F10D3D6
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 016IV JAMBI,10504875,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15E38B5CDBFACBECB71F
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 019IV JAMBI,10504878,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EA51095B1CCD262991D6
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 031IV JAMBI,10504922,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ADBC7C2B252CFB732D90
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 035IV JAMBI,10504926,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C47F45646B5FB235A97
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 058IV JAMBI,10504826,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00FB8261D9C12861AE94
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 073IV JAMBI,10504811,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F491DF6B99C9392B5292
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 074IV JAMBI,10505669,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBFAE543369B10524DED
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 076IV JAMBI,10504814,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/690FE01C5510FAD16978
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 077IV JAMBI,10504815,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/33D3FA859CCE0BF3F078
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 105IV JAMBI,10504843,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5352728E822DA9DE7B6
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 138IV JAMBI,10504503,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA7D053808C6260566B3
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 177IV JAMBI,10504451,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/95B37767650EA0B7BDC0
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 179IV JAMBI,10504453,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/109DBFF5983D1C55EE1F
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 181IV JAMBI,10504455,SD,Negeri,-,0,0,0,0,0,7,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E12DAD0BD81752CAEEF7
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 199IV JAMBI,10504432,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/368D1DDEF09643C853D5
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD NEGERI 200IV JAMBI,10504433,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27CA8967C0FD8BF0A73E
Prov. Jambi,Kota Jambi,Kec. Jelutung,SD INSAN MADANI,69888781,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7E99E3AABC0636ACBAEB
Prov. Jambi,Kota Jambi,Kec. Jelutung,SDISLAM TERPADU AHMAD DAHLAN,10505870,SD,Swasta,-,0,0,0,0,0,25,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81CAF8CC623DF2816CB0
Prov. Jambi,Kota Jambi,Kec. Jelutung,SDKRISTEN BINA KASIH,10504476,SD,Swasta,-,0,0,0,0,0,23,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D6BB8A06A4E412F450E6
Prov. Jambi,Kota Jambi,Kec. Jelutung,SDS SURIA HARAPAN,69942540,SD,Swasta,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B2E90272FF66C077292
Prov. Jambi,Kota Jambi,Kec. Jelutung,SDTUNAS ABADI,10504644,SD,Swasta,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDFBF9D36AC7C18E5F80
Prov. Jambi,Kota Jambi,Kec. Jelutung,SDXAVERIUS 2 JAMBI,10504647,SD,Swasta,-,0,0,0,0,0,21,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/18E0AC20F82E64F306F8
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMP NEGERI 005 JAMBI,10504760,SMP,Negeri,-,0,0,0,0,0,32,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C57C87413B723D76B39
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMP AHMAD DAHLAN,69939934,SMP,Swasta,-,0,0,0,0,0,10,1,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36BE5304AF3C9B8C6026
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMP AL PROGO 1 JAMBI,10505648,SMP,Swasta,-,0,0,0,0,0,2,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E6AF5A3233CBBB6A6DC
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMP DB 6 JAMBI,10505649,SMP,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C3ECC5DECE7FCCB00CE
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMP KRISTEN BINA KASIH JAMBI,10505647,SMP,Swasta,23 Aug 2019 10:38:39,1,196,8,19,4,12,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F05D3B2E0463697489B
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMP SWASTA PGRI 4 JAMBI,10504655,SMP,Swasta,-,0,0,0,0,0,12,2,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A025ABA2231E17626BE7
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMAN 3 KOTA JAMBI,10504553,SMA,Negeri,-,0,0,0,0,0,32,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8474B97E22B996F434C4
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMA Swasta Karunia Global School,69988416,SMA,Swasta,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F2B696B28294F7273BF5
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMAS AL PROGO I,10504589,SMA,Swasta,-,0,0,0,0,0,3,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44BD329D93D8F78E5DFC
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMAS BINA KASIH,10506129,SMA,Swasta,26 Aug 2019 13:51:37,0,0,0,0,0,10,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C018901BD8E7EB70286
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMAS DHARMA BHAKTI 4,10504578,SMA,Swasta,26 Aug 2019 10:56:55,5,82,4,13,4,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D49EAC07A2300CEF5740
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMAS PGRI 2,10504572,SMA,Swasta,-,0,0,0,1,0,12,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E360BB42F64277324D4
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMKS DHARMA BHAKTI 1 JAMBI,10504619,SMK,Swasta,-,0,0,0,0,0,20,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/385D36F4F5C7BD183C9D
Prov. Jambi,Kota Jambi,Kec. Jelutung,SLBS BUNGONG JEUMPA KOTA JAMBI,69969336,SLB,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E5B322574CD23F1E7C65
Prov. Jambi,Kota Jambi,Kec. Jelutung,SDS Kanaan Global School,69820433,SPK SD,Swasta,-,0,0,0,0,0,18,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E759FA6C3940EC5BEF9
Prov. Jambi,Kota Jambi,Kec. Jelutung,SMP KANAAN GLOBAL SCHOOL,69943803,SPK SMP,Swasta,-,0,0,0,0,0,3,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FD94C8BA35F926A5BDC
