provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD INPRES BTK OEBOBO 2,50305020,SD,Negeri,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B71F7CCA0C5507CEBF6B
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD INPRES LILIBA,50305028,SD,Negeri,-,0,0,0,0,0,31,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C74C96EBE28EA0141FDD
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD INPRES OEBOBO 1,50305079,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4788767B69317B1904E7
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD INPRES OEBUFU,50305080,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79D50AB85DDE1D4035E6
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD INPRES OEPOI,50305081,SD,Negeri,-,0,0,0,0,0,13,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6FE09C5FE43A49E29214
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD INPRES OETETE 3,50305250,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2614E1BA19C06BF9FF6
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD INPRESOETETE 2,50304963,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A6E480DD7E6DCD0F880
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD NEGERI OEBOBO 1,50304959,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AAB6CB728E1CA9E81401
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD NEGERI OEBOBO 2,50304960,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CBF42EE37B8947763012
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD NEGERI OETETE 1,50304962,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1391617B6C0713E9D862
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SDN Tuak Daun Merah,50309005,SD,Negeri,-,0,0,0,0,0,10,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D41EA274F6922194BD0F
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD Agape Indah,69787681,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E073168F172149C0B0BB
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD DIAN HARAPAN,69968625,SD,Swasta,-,0,0,0,0,0,9,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDA0FF733D82F791DADA
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD GMIT No.7 OEBUFU,50305032,SD,Swasta,23 Aug 2019 11:53:21,1,435,16,22,6,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FEE535C8DEBC48B0C195
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD GMIT OEBOBO,50305031,SD,Swasta,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8256E25FD01DD376FB7A
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD KATHOLIK MUDER TERESA,50305272,SD,Swasta,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F965B57D0C4CA73B7AB9
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD KATHOLIK ROSA MYSTICA,50305101,SD,Swasta,-,0,0,0,0,0,14,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA436BCC065F7964616C
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD KATHOLIK STA. MARIA ASSUMPTA,50305059,SD,Swasta,-,0,0,0,4,0,19,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C15546EBEA94AA77FAD
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD KRISTEN HARMONY,50309085,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8E466C20C6D065F7B5B
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD MUHAMMADIYAH 2,50305102,SD,Swasta,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9C765F552D5367A67F76
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SD Pelita Hidup,69787680,SD,Swasta,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C826D64633C2AFFD2FCE
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SEKOLAH DASAR KRISTEN CITRA BANGSA,69727869,SD,Swasta,-,0,0,0,0,0,26,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94DD3454D4B102B08B21
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SMP NEGERI 1 KUPANG,50304976,SMP,Negeri,-,0,0,0,0,0,73,7,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF7AD54B4B58C55D07E3
Prov. Nusa Tenggara Timur,Kota Kupang,Kec. Oebobo,SMP NEGERI 2 KUPANG,50304982,SMP,Negeri,-,0,0,0,0,0,41,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5BE6BC0696451CFBC890
