provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI JAGALAN,20534800,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1D0CB6128FEB471E6B6
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI KRANGGAN 1,20534818,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F19CA0380B6F640583D6
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI KRANGGAN 2,20534831,SD,Negeri,23 Aug 2019 16:00:47,1,138,6,10,3,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F53C9AA03B5D2F46C395
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI KRANGGAN 3,20534832,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EAD97F20FEC3E1A99EC3
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI KRANGGAN 4,20534833,SD,Negeri,-,0,0,0,0,0,6,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C9560FE09D5E28384F27
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI KRANGGAN 5,20534834,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64C719EAB05055D9DB2E
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI MERI 1,20534829,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4FB8C472BACECE0ED21F
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI MERI 2,20534819,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/602F54C7F4404D0BFE40
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI MIJI 2,20534821,SD,Negeri,-,0,0,0,0,0,6,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A1A959651A7F5778690
Prov. Jawa Timur,Kota Mojokerto,Kec. Kranggan,SD NEGERI MIJI 3,20534822,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76A1599412015D92EC95
