provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD INPRES 1 BESUSU,40203638,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2E805283C98D5E62394
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD INPRES 2 BESUSU,40203655,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/02E8E96BEAAEE0B81A06
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD INPRES 2 LOLU,40203754,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C9A15F81E0AAA4BC21C9
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD INPRES 3 LOLU,40203744,SD,Negeri,-,0,0,0,0,0,11,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EEED27723EE6ACB2B36
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD INPRES 4 LOLU,40203757,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6DD07D3C4E3D780C2C79
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD INPRES 5 LOLU,40203772,SD,Negeri,-,0,0,0,0,0,10,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07A6A41BC3B7C036052B
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD INPRES 6 LOLU,40203770,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77D90A6568759A0B1319
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD INPRES BUMI SAGU,40203759,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0CF9C2E625AA585BE9B
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD NEGERI 1 PALU,40203727,SD,Negeri,-,0,0,0,0,0,15,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2C1F78D9B9554590395
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD NEGERI 10 PALU,40203705,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B810385CACB73F85D1AB
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD NEGERI 13 PALU,40203537,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1CA5FF0979EF1FB9AE72
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD NEGERI 15 PALU,40203535,SD,Negeri,-,0,0,0,0,0,15,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2EC599EFA2019E3B28EA
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD NEGERI 16 PALU,40203534,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B60ECC2120C341D6934
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD NEGERI 17 PALU,40203533,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F783B19B3E6EC291BFD
Prov. Sulawesi Tengah,Kota Palu,Kec. Palu Timur,SD NEGERI 22 PALU,40203543,SD,Negeri,-,0,0,0,0,0,12,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FBF99EC1BFCCE7DFB7BD
