provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD NEGERI 02 KARAN AUR,10307180,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/55C870A55F47E1A21999
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD NEGERI 03 PAUH,10307151,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F33BD84D028A28147EC
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD NEGERI 05 KAMPUNG PONDOK,10307166,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6F39294CB5BED282A49
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD NEGERI 09 PAUH BARAT,10307171,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10D9FB60B609F566B0DD
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD NEGERI 11 PAUH BARAT,10307426,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/934B65A60B414BD5E805
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD NEGERI 12 CIMPARUH,10307197,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E42C1F0BFB542E37E7A
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD NEGERI 14 PAUH TIMUR,10307199,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/472AAEED14EA864E22FE
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD NEGERI 15 JALAN KERETA API,10307434,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/652F83A349D4BB7A85BD
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD NEGERI 16 CIMPARUH,10107206,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4507D3483504B514F23
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SD Negeri 19 KAMPUNG BARU,10307433,SD,Negeri,-,0,0,0,0,0,13,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28134C70E04CABF8F0A8
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SDN 01 KAMPUNG JAWA I,10307189,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9FEB1A29F0505B4E762D
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SDN 04 RAWANG,10307424,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F937CFF516360B8D2E58
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SDN 06 CIMPARUH,10307175,SD,Negeri,-,0,0,0,0,0,6,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F0FCE32B02F6AB3CF2D2
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SDN 08 KAMPUNG JAWA 1,10307158,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0D4B24E08832C08A9D9
Prov. Sumatera Barat,Kota Pariaman,Kec. Pariaman Tengah,SDN 10 JATI HILIR,10307172,SD,Negeri,23 Aug 2019 12:07:50,1,170,6,8,3,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DAC2BB39E150CC5316C
