provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 001 Loa Janan Ilir,30401140,SD,Negeri,-,0,0,0,0,0,6,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B59F4AA9040CE480D977
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 002 Loa Janan Ilir,30401367,SD,Negeri,-,0,0,0,0,0,19,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27A0B77F22ABABE2DBE0
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 003 Loa Janan Ilir,30401357,SD,Negeri,-,0,0,0,0,0,14,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF9DC290C1B212D7D88E
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 004 Loa Janan Ilir,30401193,SD,Negeri,-,0,0,0,0,0,6,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C077D950268DB3E56331
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 005 Loa Janan Ilir,30400982,SD,Negeri,-,0,0,0,0,0,19,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/957E9BE1F40FF7A33708
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 006 Loa Janan Ilir,30400998,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E7349E853F8D9376B25E
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 007 Loa Janan Ilir,30400992,SD,Negeri,-,0,0,0,0,0,7,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C143E9B4BF16EE0CC445
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 008 Loa Janan Ilir,30400986,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01197BC9148B6B1BC96E
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 009 Loa Janan Ilir,30401004,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8B2C14A0543D3B361BE
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Negeri 010 Loa Janan Ilir,30400933,SD,Negeri,-,0,0,0,0,0,8,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0CA77F705A983C2BAADA
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Daarul Hijrah Al-Amin Samarinda,69989770,SD,Swasta,-,0,0,0,0,0,0,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC89C95459E3B14BB048
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Katolik Hati Kudus Samarinda,30409910,SD,Swasta,-,0,0,0,0,0,11,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ED7C0891D33AF38D4A1C
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SD Plus Melati,69948010,SD,Swasta,-,0,0,0,0,0,5,0,0,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0C1EFF4C8A002E74216
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SMP Negeri 15 Samarinda,30401008,SMP,Negeri,-,0,0,0,0,0,29,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/75C2A9FD02590F252717
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SMP Negeri 18 Samarinda,30401011,SMP,Negeri,-,0,0,0,0,0,15,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2BEF8884682DB11EFED3
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SMP Negeri 36 Samarinda,30401031,SMP,Negeri,-,0,0,0,0,0,19,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C69F378113F8F3BA4403
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SMP Negeri 43 Samarinda,30404260,SMP,Negeri,-,0,0,0,0,0,4,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2BB2269E2725BC929B35
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SMP Negeri 8 Samarinda,30401036,SMP,Negeri,-,0,0,0,0,0,36,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/76FB23049A041100016F
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SMP Plus Melati Samarinda,30404262,SMP,Swasta,-,0,0,0,0,0,12,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9539E7D7D845A40A0CD
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SMA Negeri 10 Samarinda,30401067,SMA,Negeri,23 Aug 2019 09:31:59,4,677,22,69,33,38,5,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B52A230317E0976223D9
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SMA Negeri 4 Samarinda,30401050,SMA,Negeri,-,0,0,0,0,0,35,4,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4CD57F8EA5027E8D1B59
Prov. Kalimantan Timur,Kota Samarinda,Kec. Loa Janan Ilir,SMA Negeri 7 Samarinda,30401053,SMA,Negeri,-,0,0,0,0,0,22,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE4824F3841B0B17F1EF
