provinsi,kab_kota,kecamatan,nama_sekolah,npsn,bp,status,last_sync,jml_sync,pd,rombel,guru,pegawai,ruang_kelas,ruang_lab,ruang_perpus,url_sekolah
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI KEPUTIH 245,20533568,SD,Negeri,-,0,0,0,0,0,12,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E85D4B12AFF32A4890C0
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI KLAMPIS NGASEM I 246,20533594,SD,Negeri,-,0,0,0,0,0,25,3,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/38D58A1451DE15FF3EFB
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI KLAMPIS NGASEM II 511,20533595,SD,Negeri,-,0,0,0,0,0,7,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E6A6C4904CD9799C946A
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI KLAMPIS NGASEM III 512,20533563,SD,Negeri,-,0,0,0,0,0,9,0,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C808CCDABF7F56ECC4C8
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI KLAMPIS NGASEM V 230,20533532,SD,Negeri,-,0,0,0,0,0,16,4,3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D2C9DBBBFB162CDF063D
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI MEDOKAN SEMAMPIR I,20539113,SD,Negeri,-,0,0,0,0,0,13,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CB209DB7683E7CD80FC
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI MENUR PUMPUNGAN,20533200,SD,Negeri,-,0,0,0,0,0,16,1,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A6CBC723996CF7EC5F22
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI MENUR PUMPUNGAN IV236,20533202,SD,Negeri,-,0,0,0,0,0,13,1,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A014A4A999E97A01895C
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI NGINDEN JANGKUNGAN I247,20533165,SD,Negeri,-,0,0,0,0,0,18,3,2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7DFB8B2374689936409F
Prov. Jawa Timur,Kota Surabaya,Kec. Sukolilo,SD NEGERI SEMOLOWARU I-261,20533272,SD,Negeri,-,0,0,0,0,0,22,2,1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/61E0EF37054E24717AF8
