provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD N SEUNEUBOK TEUNGOH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4C56E44702614EB029C
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI ALUE BATEE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F15D0A0F721B5E4C634C
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI ALUE SUNDAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6378E4FB8427FF81BD2
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI ARONGAN WOYLA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AEC1DB7EE9084FF055E0
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI COT BULOH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AEE56A01CC5C190597E
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI DRIEN RAMPAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B39FCC8DA37D60DD7CE6
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI PIR BATEE PUTEH V,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4DF6A5624DCBC3D6A2D
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI RIMBA LANGGEH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6C1AA7968FEB0EDE6D8F
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI SUAK IE BEUSOI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/56FB73B32DA61183F2C6
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI TEUPIN PEURAHO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/022F28FC5BA4BD21AE95
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SD NEGERI UPT IV KR. HAMPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3BB20472256C77727CA9
Prov. Aceh,Kab. Aceh Barat,Kec. Arongan Lambalek,SDN KEUEB,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/517EEFA2A7F2630DE1D0
