provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 1 CELALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4DF8B82AF13618C1EEA0
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 10 CELALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/953453DEEEEFFD9EA4BC
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 2 CELALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6E36C15105FB75EB8AF6
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 3 CELALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/35C07E24E0EC8D777724
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 4 CELALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F0B345F938B562B57D56
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 5 CELALA ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4BB308663CD328475C3
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 6 CELALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DFF43A176C66EFF09551
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 7 CELALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/16B1EE100E1AB1928568
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 8 CELALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4550B72ADBAFC58ED962
Prov. Aceh,Kab. Aceh Tengah,Kec. Celala,SDN 9 CELALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/171B601411BF578781DB
