provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN 1 BLANG GLEUM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1446AEB186285563BE3E
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN 1 KUTA BINJEI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F4C5BEBE8797B78596C
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN 2 BLANG GLEUM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B91B92394E94E4D790ED
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN Alue Cek Doi,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/74ACDE94B530279B7241
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN BLANG JAMBEE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/83772BD372E5778E346E
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN BUKET MAKMU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60824ABDF3891034BA13
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN BUKET PANYANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E78604059CB836395120
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN BUKET SIRAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2850A333F113284115A
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN JULOK CUT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A30270DAF3F184845838
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN JULOK TUNONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B4DD8832A5FFD4F4A39F
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN KUALA GEULUMPANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4D8F8C044A0E2F15EE06
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN LHOK SEUNTANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B3BD316AB6AB939D773
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN NALEUNG MAAS SCHOOL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D429C24D2BAE00987523
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN SIMPANG LHEE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EAD8C1A351901F4385DC
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN Teupin Raya,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22A8AA3AC5D1F6216223
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN UJONG TUNONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/71671D3E29F264853319
Prov. Aceh,Kab. Aceh Timur,Kec. Julok,SDN ULEE TANOH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1018746A292E2B54182B
