provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 1 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/58AB97A9414A4FE18B42
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 10 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B380A2F3F3F66C3AEF98
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 11 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/80A21D84B46391659C69
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 12 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E79654EEE2A0F138DFF
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 13 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0F38C074989A693EC81
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 14 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D8F8002C46511B0978A
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 15 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9865D3E5AD3D52D13BA7
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 16 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/414D784159397A660FB3
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 17 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C62BC6E4A87270BF6E48
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 18 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE58861ED9EB8DB5CF31
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 19 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8E6F6ACECE580E84B931
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 2 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B05220CD697CAB07661A
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 20 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C46F6710BFF22449BF1
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 3 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CCE599408483EEF849E4
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 4 KUTAMAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A2D5B23BD68EB4234BF
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 5 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F6FD9A088159E7472AFA
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 6 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60184EB26C3A36AA8D42
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 7 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F9F03B699398E9B0F6C
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 8 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/66CEE3EA5BA0926D56E5
Prov. Aceh,Kab. Aceh Utara,Kec. Kuta Makmur,UPTD SD NEGERI 9 KUTA MAKMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7947531CBBE39746EB6A
