provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,SD NEGERI 8 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2ED6A833AC125AF51C7
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 1 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B123C941EC7816D16E8
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 10 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C92A52A679832F1BF8EA
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 11 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13EF7FEC7172701117FB
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 12 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD59F4989E1890A77CDA
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 13 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AAF7B7AE46D76513DA11
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 14 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B660AEACC80359BBEC60
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 15 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/969C498188F3AA2E9495
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 2 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E87103806945C63F92A
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 3 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3B341C8800A40A486444
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 4 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36D1A115FDD56908F2F0
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 5 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/11D612FA7FBF13C5DEC1
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 6 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/86D7DFC708C1B9AA133F
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 7 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C35E6B66AC196F6FDFB
Prov. Aceh,Kab. Aceh Utara,Kec. Tanah Luas,UPTD SD NEGERI 9 TANAH LUAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC1DEE471C74EAA26EA1
