provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN ANDIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F35AE90164649657496B
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN BABAKAN 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5ACC5BC015660C734298
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN BABAKAN 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BCC93F63ED085ABC645C
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN BARANANGSIANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA0385FCC476163DD3EA
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN BARUJATI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2CA2B3D09D66D68AC71E
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN BOJONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30CDDC26F4CB1D748CC7
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN BOJONGNANGKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F7C9421A43E42455D7F
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN BUGEL 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/25A5B19D60806A3B4274
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN BUGEL 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E273B00719B83CF3E78
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CALENGKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D0DEF63139320D4BC6B2
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CANGRI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/740611B2A5F694153C8C
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIBULAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/274E88D16FD2FB96FD2E
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIHEULANG 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/453E445A7EEA5F14DC94
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIHEULANG 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBE764EC03676D7EB263
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIHEULANG 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B13735801CB5E2AF73B9
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIHEULANG 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD880A437502FE107CBE
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIHEULANG TONGGOH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07CAA1594B1FC42633B8
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIKONENG 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/02D50CE312CA4DE1C275
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIKONENG 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/81B6CFE152E223056AE9
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIKOPO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00DBDEE590107F6266B0
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIKOPO 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E298260E19060A509BC9
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIPALABUAY,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/025C6156FED92EFDC639
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIPARAY 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A3A9BDC4ED3EBFCC65E
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIPARAY 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D96C2F6F4E78D11B153
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIPARAY 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B84E120FB9665F76880A
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIPARAY 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/725D4BE34CE760C65549
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIPARAY 06,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/51784CA025C286E181C9
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIPARAY 07,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1B1BBC91FFD195AEA303
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIPARAY 09,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/63A3D0BD1AA3306E9E9F
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN CIPONGPORANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/744D606BC97E9E1DC811
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN DEWI SARTIKA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/67174BB99F2064D43C3B
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN GADIS 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DCDA7623A8BC3B26E791
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN GADIS 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD9AF8E6B13B19ADD647
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN GENERASI MUDA 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C355098C50DA00463672
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN GENERASI MUDA 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B379847C610D68715AA0
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN GUNUNGLEUTIK 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E049BF8BE2020049260C
Prov. Jawa Barat,Kab. Bandung,Kec. Ciparay,SDN GUNUNGLEUTIK 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43BD075E8340796BFD2B
