provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD INPRES 1 BALANTAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/87F37544D5D554020B76
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD INPRES 2 BALANTAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/07606F5F56BCBB908B31
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD INPRES KILOMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4604D0EFD232605E7AD1
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD INPRES LUOK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/148D1657B5C50A0F1F7F
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD NEGERI MAMPING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/98EBDFAD25AE76B932D7
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD NEGERI TALIMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B18FA5520B4B10715AC3
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD NEGERI TANOTU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3DA0A1BCF94315BCEC16
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD NEGERI TINTINGON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A71190AD9AB4FBD8656B
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SDN DOLOM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B0A52BE94ED25CB32F7
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SDN INPRES BOLOAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AADFAC2F1EE762ED2538
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD COKROAMINOTO BALANTAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8FF67BAAE1798B865C79
Prov. Sulawesi Tengah,Kab. Banggai,Kec. Balantak,SD MUHAMMADIYAH BALANTAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/41ABDE32305087C0FFA6
