provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD KECIL KIRAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/965B2EE8E548D5672FD3
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI ABIRAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF306957363830950716
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI AWANG BANGKAL BARAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A53F4BB0E855115C1C94
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI AWANG BANGKAL TIMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/429E5938B316089C738B
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI BALAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/878C01775743DD36BC30
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI BIIH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EFAD652C0B7F17D89753
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI JINGAH HABANG HILIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0516EAD9F3957D2312BE
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI JINGAH HABANG HULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/99905934049001A9A3B2
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI KARANG INTAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94430CBACD9762FD35A9
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI KARANG INTAN 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7860E3027D087C9EAC2
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI KIRAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2938A87FF32F6E880CCD
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI LOK TANGGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5952A4AAC5D2264927F8
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI MALI-MALI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5CDE8F1E243AAA33AF8A
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI MANDIANGIN TIMUR 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E382EA2A00D3427115FA
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI MANDIANGIN TIMUR 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C0243E8F99A3E483863
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI MANDIKAPAU BARAT 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE1010A8DEB75B5BC469
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI MANDIKAPAU BARAT 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7AB35AD17B88865617C2
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI MANDIKAPAU TIMUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7A47910846713BDCCDA4
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI PADANG PANJANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C62B03DBCA4D7EC2D2D
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI PENYAMBARAN 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7E52528516CE45E73423
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI PENYAMBARAN 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B416D9F62C907B7871A
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI PULAU NYIUR 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA4B2A278C6F3A3AD33A
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI PULAU NYIUR 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA4F7DE7AD81E180ADEA
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI SUNGAI ALANG 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/88D959C0470601A1E611
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI SUNGAI ALANG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0CD291F07E91903864A4
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI SUNGAI ARPAT 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/163297A1DC7F14DECC61
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI SUNGAI ARPAT 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/221D04E071B9BD33356D
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI SUNGAI ASAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A5D42B1D2D2325B4BC5C
Prov. Kalimantan Selatan,Kab. Banjar,Kec. Karang Intan,SD NEGERI SUNGAI LANDAS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60A156DC04534771472B
