provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD 2 KRETEK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F64C221B10939D46E003
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI 1 DONOTIRTO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59EC6D4A1D6E545638F1
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI 1 KRETEK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABAAC44F0C3A613AEDE5
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI 1 PARANGTRITIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00A5F87ED0B15FC29B7B
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI 2 DONOTIRTO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/87BC52C21125B7304D6F
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI 2 PARANGTRITIS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/05D728AE0016B09E4073
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI BUNGKUS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C557808D80CB3A426705
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI CIMPON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5D3620A98BA542A51D6A
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI KAREN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE91015D9A32A31D4AB4
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI SONO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/42B5489FB289B705F4C3
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI TIRTOHARGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17E333CE3B57E658594E
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI TIRTOMULYO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A3B86BD957133CC00B7
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD NEGERI TIRTOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0A5A770DC237D0B3880
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SD UNGGULAN MUHAMMADIYAH KRETEK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3F7077FF838F9AB62B15
Prov. D.I. Yogyakarta,Kab. Bantul,Kec. Kretek,SDIT AR-ROHMAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/408C00F6D38BB626AD7A
