provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 1 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4787F21F00BC1AD9EA83
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 10 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0183DF2C025CE2224EF3
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 11 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CD2D3B1DDA9ACC3F46EF
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 12 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22772E6225EFFD19A6CD
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 13 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2352E1B21F2D3C3BEA71
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 14 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/43869B9DABDD9AE88FB6
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 15 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFF5536277AC7791DDE4
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 16 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/667349A441F4B568BFFE
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 17 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/17EEA12300C51AF70F42
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 18 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/046C45836668C1A099E3
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 19 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A96508B5876BD6FAD262
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 2 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/21A84B2FF144EB11C68D
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 20 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/03CF23D9B8EC8B2EABE6
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 21 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A73E22E294F4A187ECA
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 22 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D829A076B42948C23E9
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 23 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4CDE9E8F49820C0F711
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 24 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF1347A5D176B95D5F6B
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 25 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8511241C76DA685AC15
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 26 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00BC3F40AB8F2A3D1E20
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 27 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B26A7F45617DFF672700
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 28 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D91D028D59F1721F5B5E
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 29 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/240356632601C0EF1171
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 3 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27E5D41F5E5EB4F0DA03
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 31 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E2901641665B480DA61E
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 32 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D36AFC3A8D6451C43EDB
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 33 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/421A35CD71132004C20C
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 34 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/70E15EBBDCE257CB78FE
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 35 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C8CEBF805DA4594ECA2F
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 36 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3180FB75CF1D317DB7FD
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 37 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9BB4DE5CBD6C982A05A
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 38 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/041CCBE42114AE109950
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 4 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20BF09FFED3E8D7D1A5A
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 5 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D981E3F7D04A4489C8E3
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 6 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48B4AC6D9F3D1ED57B68
Prov. Sumatera Selatan,Kab. Banyuasin,Kec. Rantau Bayur,SDN 7 RANTAU BAYUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D6A250E37EDB5CFA5294
