provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI 1 HAYAPING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B7C1D364A59CE5C5D257
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI 2 HAYAPING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF3C190995A705577453
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI AMPARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1FD1A7B184BF7ED08FE4
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI APAR BATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D61349D84D8B056E3A58
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI BANGKIRAYEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A39E1FEB5ABF2E265D9
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI BIWAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/01422EEEA773F5BDB647
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI DANAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7646084A101A1A3A73EF
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI GUNUNG KARASIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F33C2726AC32AC56722
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI JANAH JARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B859F6E125E9068A0001
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI JANAH MANSIWUI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37F33F757FA90B4BEDBE
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI PIANGGU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/678FA81799701F0014B5
Prov. Kalimantan Tengah,Kab. Barito Timur,Kec. Awang,SD NEGERI TANGKAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23A507FE3D5BB9CC24B4
