provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 1 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E9FB054218C27BF6E1EE
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 10 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2A7069ED1D9B850AE467
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 11 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CA0F7B3FCAC7C9ED3861
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 12 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49376F37DF8F5E83D1BA
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 13 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC97FFC70653FA6B3FA4
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 14 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/78FC8DC553B0640C29B0
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 15 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5ECB78543F0FA6C4C3EC
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 16 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7B7D0D6DEDD719687E89
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 17 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D9F3445A429B05AB1CA9
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 18 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/66AD6601F70F987AB4B5
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 19 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBA195D4DCC6AB686A4A
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 2 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/579971BA3B99B97ED4D5
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 20 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20221F1A7F066CC2D761
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 21 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FE5F8F7F759978EDC5A
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 22 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A935602FA8382CBBE10E
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 23 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7EB129E583EAF6B7CE34
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 24 BANTAN ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DD888C2E5CDB342AEF0
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 25 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A342A39D5317967D6C60
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 26 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/96B653F6E4594549FA19
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 27 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4E5A6097B55EA48DFCCF
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 28 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C479848FEA2DA1880C76
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 29 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22C3B8A0BD5B46924F47
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 3 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/10C3D25FAE36CBB2D29A
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 30 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D2D6FB463C3C9BD3D88
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 31 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27BA2DA3871DA4A0FAFA
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 32 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A51584014D2C4B46361
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 4 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B9BA74080D7D97F74F7D
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 5 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/62549196C65838079AE0
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 6 BANTAN ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/912B80AABDFA68317C74
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 7 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/372DC8278E1741CE5657
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 8 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/880FEF06B8B18568295D
Prov. Riau,Kab. Bengkalis,Kec. Bantan,SDN 9 BANTAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DCE488817AF6A3F89EF3
