provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 04 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/745D530376CB7B6E2484
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 20 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE25F03A98D923C02AE6
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 24 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC316321C760E691BE4A
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 35 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/89075955B752410D7C06
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 36 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3ABEF02A7CB5F01A5D41
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 40 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/16B4AE84B1AC5B8574D1
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 46 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D5CB1ADEC48129AA62A
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 50 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/254BEFF5D95C23C775C0
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 55 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F077A11C9F7246FD6588
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 78 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/651AC3CAD52E9095066B
Prov. Bengkulu,Kab. Bengkulu Tengah,Kec. Karang Tinggi,SD NEGERI 80 BENGKULU TENGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AEF1FF5D40CFFFEE2B08
