provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 176 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/29EEAF0CF4D068B64587
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 177 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B7919927B6338F65EE03
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 178 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0640BE5D7F1DBC7A3FAD
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 179 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/73EEB09934FA2077A4A7
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 180 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59E17B9A359DCAA26CCA
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 181 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FD2066C711EB5175382
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 182 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/336091A1970A400E3355
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 183 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC572005EA6B4792F1D9
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 184 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/822FAB9618D2DCD149AB
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 185 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3E74BA7FC2C6ECF1885
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 186 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1E836438AF9108213D78
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 187 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3AE81C2C039202B83FF8
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 223 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/73A8754C8AB7802B5637
Prov. Bengkulu,Kab. Bengkulu Utara,Kec. Ulok Kupai,SDN 224 BENGKULU UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CC52AA3ABE14E734859
