provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 BATU-BATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B951FEF9D5C18DE1225C
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 BIRANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F0B9B89155788EE3032
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 GUNUNG TABUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C286DE7D126E8C16C4B5
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 MALUANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F175813C646CDA1A1625
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 MELATI JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8B1F056A48C6B134BB4
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 MERANCANG ILIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E137247495ECF28F745
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 MERANCANG ULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/673444AE23D300B761A9
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 PULAU BESING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/91C55DE205C01D70D8E8
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 SAMBAKUNGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/40ABAD4C0A60E06F2B48
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 SAMBURAKAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA95F26A98C3A236F977
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 001 TASUK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D126448A09907A04D982
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 002 GUNUNG TABUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/60533CF79DE459E14F68
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 002 MALUANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2342604C4149E389BA7C
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 002 MERANCANG ULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15A42FF8DF4B76CBA2D3
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 003 GUNUNG TABUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7BEA4AB0B74F84CFF21
Prov. Kalimantan Timur,Kab. Berau,Kec. Gunung Tabur,SD NEGERI 004 GUNUNG TABUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59020606B7E0995E482A
