provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD INPRES 1 WORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B7D62AB0F6140FFDDD27
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD INPRES 2 WORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FA9F2A64FA296D3B2EE4
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD INPRES 3 WORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23A88C7DC1EC73ED868C
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD INPRES CAMPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E184AF62174C01EB9B12
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD INPRES MONGGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23A2425832FEF96784BE
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD INPRES MPURI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D9270687360FE8C8697
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD INPRES NCANDI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7175DC935AD4C2BB2402
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD INPRES NDANO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3832554DB77E34DB5B7D
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD INPRES TOLOLARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9B49E11C964EC439B250
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI 1 BOLO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2DFBBD54A80B247FD9EA
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI 1 CAMPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF07ED74EA9220089CFE
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI 1 DENA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92D0E9B0D0F3F6D9EE2E
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI 2 BOLO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE0FF508D9D6C0B28D36
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI 2 CAMPA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/26AE09F794EDC4D9FDAB
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI 2 DENA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4C73112B515C8C3C9D68
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI INPRES RADE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9520EFCD3FFE464E6481
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI INPRES SAMBI TANGGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/256664C7CBB7AA72D1F4
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI Inpres Tonda,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B5BA665302B14E81EDBD
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI MONGGO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FD2789A4D262FD3504FC
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI MPURI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9F49208021430C03B741
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI RADE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/055134DF0F57A0DA30CE
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI SORI OWO UPT MPURI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22DAFD6668DCCDF0D939
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI TONDA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/77C8AF7E33BE879098C6
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD NEGERI WORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/52581783791B0473C619
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SDN INPRES DENA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8EC34A8833B608465A79
Prov. Nusa Tenggara Barat,Kab. Bima,Kec. Mada pangga,SD IT KASMAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D2F25489C940B80F81C2
