provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SD NEGERI 001 BINTAN UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08C89AF06CBB7E33022C
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SD NEGERI 003 BINTAN UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F54F0F806B63A856F4C
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SD NEGERI 004 BINTAN UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E1E1F355F95CE86DA0CB
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SD NEGERI 005 BINTAN UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/880B67F5E48B03E30D7F
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SD NEGERI 006 BINTAN UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1FBE28CA39CB2C74F0A
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SD NEGERI 008 BINTAN UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6043B90C879CAA4F2F58
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SD NEGERI 009 BINTAN UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EFED90D36AAB21A366C6
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SD NEGERI 010 BINTAN UTARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1824CC7088A74629DBFE
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SD KRISTEN CALISA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB3E22ED7591C8B0330C
Prov. Kepulauan Riau,Kab. Bintan,Kec. Bintan Utara,SEKOLAH DASAR ISLAM TERPADU BAHTERA INSANI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A0F94B5069044909FD6A
