provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI GUNUNG GEDE 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/706CE949E706FBDAB085
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI GUNUNG GEDE 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C639372A1D429DA7A17
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI GUNUNG GEDE 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC27B0FFFFC3F769174E
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI KALIGRENJENG 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B0A222DDB115A14C156
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI KALIGRENJENG 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/520C1202C1B782481D46
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGADIPURO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FD03B37BEC0B82EB031
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGADIPURO 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0EEF0CD784C7E80D04A5
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGADIPURO 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DBF15170837CF987E0B5
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGENI 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/06D2A2993E9E38E8A49A
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGENI 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7C733D98F109B594C16F
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGENI 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC90FCA87F935AAE2161
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGENI 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B48B95D5E5F71A7A5D21
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGENI 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FAEF50F3C7135BC22A60
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGENI 06,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EFC796FE9A98F914898F
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGENI 07,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AAC16DE7D62C3F6E1AB4
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI NGENI 08,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6B94073CD977EE043A42
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI PASIRAMAN 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FC3CF0AD2DB139C29F82
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI PASIRAMAN 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EAFF8C4345CA007D6A95
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI PASIRAMAN 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/59C66051E340D33F86A4
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI SUMBERBOTO 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EDB65262D526BD1C3238
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI SUMBERBOTO 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E532C58E6308A8C95001
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI SUMBERBOTO 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8C774E50C877D229E4CF
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI SUMBERBOTO 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB1ABC11043AB5FE6DE5
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI TAMBAKREJO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0F6A22AFD7F7350E1BDE
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI TAMBAKREJO 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DF632C30DD1AF19A3E7F
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI WONOTIRTO 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CEB1E55D01E1DE18746C
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI WONOTIRTO 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0B3A0D8E2975ACF84198
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI WONOTIRTO 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94E5B58AC95DD8D36D08
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI WONOTIRTO 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F7682FCD08B43CC86052
Prov. Jawa Timur,Kab. Blitar,Kec. Wonotirto,UPT SD NEGERI WONOTIRTO 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B1129F5358659AFC7517
