provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 01 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49B161C33E8B65D11C2C
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 02 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE508CCC774F9627730D
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 03 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE9ACE2B556B03FBD3BB
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 04 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D55ED03E31558F3F7DC
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 05 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97FEC1DA8AAE6E5B3399
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 06 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/323FCD7F1140B4983A4F
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 07 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90F986C68BBE48E25631
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 08 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8229F2126916F1D8652A
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 09 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9E7FFF21FFEB2042369F
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 10 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BC81B5A18225FBF0D8E8
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 11 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/405B35F792ADD2645A8B
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 12 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F4BBBA6485B25B9580C8
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 13 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F90B4C99509AABD0B366
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 14 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DABF61DF9653A3A4BD3D
Prov. Gorontalo,Kab. Boalemo,Kec. Wonosari,SD NEGERI 15 WONOSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B674095F4CDF3DF88C02
