provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N BOJONG NANGKA 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDC33E9D069CF85681FE
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N BOJONG NANGKA 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6EFB1EC105033EE84636
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N BOJONG NANGKA 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/035439BEA5831E2C8EB9
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N CIANGSANA 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F5EBF7F22A4FAA95F01
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N CICADAS 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BAB9FB85CC2F17AAE064
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N CICADAS 06,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A0C0217FE228ECCFD1F
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N CIKEAS UDIK 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/536F9B62A8891744446C
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N CIKEAS UDIK 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E4A90CD6EB53E7A2264F
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N CIKEAS UDIK 04,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFB6C8CE213698AC3696
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N CIKEAS UDIK 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/155E598AE2D2AC5C0901
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N CIKUDA 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/71DF48D8E7BFDAC3CC3F
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N CIKUDA 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C2E2FA43D4F5B35BF66
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N GUNUNGPUTRI 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6A3313F00344FE271E35
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N GUNUNGPUTRI 05,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7FE6C4901F91027C0CB0
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N KARANGGAN 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD3356942C4ED9C1CD7E
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N KARANGGAN 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/924EE5BC826D3A9B1844
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N KARANGGAN 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13DD2ACA3BBEB33AAFAF
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N WANAHERANG 01,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/84B245347A50B75A645C
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N WANAHERANG 02,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44B1DED2AACDCF79BDAD
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N WANAHERANG 03,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2DEA893E8CD99DBB2135
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N WANAHERANG 06,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4170DD9E52783B33FDAE
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD N WANAHERANG 07,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/529E14D2FB9D8F69E58A
Prov. Jawa Barat,Kab. Bogor,Kec. Gunungputri,SD NEGERI 1 CIANGSANA ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/070DC56ABE59CB46CCB2
