provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD N 1 KEDUNGPILANG ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F817C2315CF94A53D3DF
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD N BERCAK KEC WONOSEGORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FF3EE06D945A775FAE0A
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD N GARANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/844BAAD2969298BF1F34
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD N GILIREJO 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F285FCE4A4935CD0C277
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD N GUNUNGSARI 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F87531F5FAF66DF711BE
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD N REPAKING I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2B9563112CEE72EBFD38
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD Negeri 1 Jatilawang,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8DA7DC0B83C332A33602
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD NEGERI 2 REPAKING WONOSEGORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C3906AD2DF3FDFE9D5C2
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD NEGERI BENGLE 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4A3F2F41763DCC08B56C
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD NEGERI GUNUNGSARI I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/64EA994CAEE0248D43A5
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD NEGERI JATILAWANG 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F5A6413D9596324D789F
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD NEGERI KALINANAS I KEC. WONOSEGORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/08BA03748A2C84A5E623
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SD NEGERI REPAKING 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB16B60829BF4168D9FF
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SDN 2 KALINANAS ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37519EB7EF89EEA5D61A
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SDN BENGLE 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/609FCA105CC590205BD7
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SDN NGABLAK 1 WONOSEGORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/609893F46C9E8CB300E0
Prov. Jawa Tengah,Kab. Boyolali,Kec. Wonosamodro,SDN NGABLAK 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB90E2D6E5D2FC5531E2
