provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 AWAINULU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB859FA762E08570BE1F
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 DONGKALA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/108A7EA310292D791E98
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 HOLIMOMBO JAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2CC46902D2DE103EDCC4
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 KAHULUNGAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/50A42E857087A4C6816A
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 KOMBELI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/19DDBA5AEA814423F817
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 KONDOWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0E8D2964ABEC4DD09376
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 LAPODI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/71255BA7B391B9A401C9
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 PASARWAJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36C67085AD268D707FF6
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 SARAGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B7F91947FDF99583886E
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 TAKIMPO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8841E545946BF9B004E7
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 WAANGUANGU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/37BD6067E7CF1E0E89F5
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 WAGOLA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79E0ED2183C349F22F56
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 WAKAOKILI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97CD0958282900A05C44
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 WARINTA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E3E4371C8A8F3EE8A5BF
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1 WINNING,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DB498003C04B91B7D233
Prov. Sulawesi Tenggara,Kab. Buton,Kec. Pasar Wajo,SD NEGERI 1WASAGA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA7F7DFC159772FE3D07
