provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 1 BANTARDAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/20EF00742D88D2088966
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 1 KARANGPANINGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/68BD0CDA020F8C81A72C
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 1 KUTAWARINGIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6899505C1BAF5950AE0D
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 1 PADARINGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CB68CCCCFC907716378
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 1 PASIRLAWANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3EF5EE46309DFA03686F
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 1 PURWADADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9637754BBFA2F3AC19BB
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 1 PURWAJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8165C0352BC4D0007B6E
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 1 SIDARAHAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/646BD001A836EA5BCFB3
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 1 SUKAMULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5CAB288932D728AFD1D0
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 2 BANTARDAWA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/30196814FCA4945A5BEF
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 2 KARANGPANINGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5020C97727E6B2A07244
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 2 KUTAWARINGIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A1A47C475EA36C6C066F
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 2 PADARINGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2E7A17BBC1F4E8D9F952
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 2 PASIRLAWANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF65C0E24A0D058CB1AC
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 2 PURWADADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/773C02317B63FFFC90A9
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 2 PURWAJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CDFE5B2C6894E8AB83EE
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 2 SIDARAHAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/41BED5AE1045FFB8A560
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 2 SUKAMULYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BDEB5C1C10FE0671CCB5
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 3 KARANGPANINGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C250266DAF72CDBCC0E
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 3 PURWADADI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/237E96EE68ED09D27C57
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 3 PURWAJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0C29C3916A33ED86F2F3
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 3 SIDARAHAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D0EFCA74652DDD474758
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 4 KARANGPANINGAL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/92C72A18440DEB22DB25
Prov. Jawa Barat,Kab. Ciamis,Kec. Purwadadi,SDN 4 PURWAJAYA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9256E001DB9AFAF4A82
