provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI BREBEG 01 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4EAF2FACE56F522F33CB
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI BREBEG 02 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8B31DC10CD691F871E5B
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI BREBEG 03 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BD73C3831895F26322DB
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI CILIBANG 01 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A075821312DC7EBDE9D5
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI CILIBANG 02 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DEFFF5ADAA19FB3DE2D6
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI CITEPUS 01 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/54F0C3BF99EEE1824076
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI CITEPUS 02 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D3FA933BF06F51D4CD79
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI JAMBUSARI 02 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BADCA09A73BDD7ABFB20
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI JAMBUSARI 03 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8CECC480215FA1F1AF2
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI JAMBUSARI 05 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0956F3E2DF04B8930DAA
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI JERUKLEGI KULON 01 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2BAFF593D4236A28F359
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI JERUKLEGI KULON 02 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/31301E006EBA0A6651E5
Prov. Jawa Tengah,Kab. Cilacap,Kec. Jeruklegi,SD NEGERI JERUKLEGI KULON 03 JERUKLEGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79647A5C45E675A784D5
