provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 101802 NAMORAMBE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/282E2F64C5080D4A9656
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 101803 NAMOPINANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9CD19D7A3B80F95AD55B
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 101805 BATU REJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C88FF76E6B8C9B125176
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 101806 JATIKESUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F482BD882BC438AC7E13
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 104215 SUDIREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/97AAB6FAA2718056709F
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 104216 RAMPAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/081A7A00BE214C609412
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 105301 NAMORAMBE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3EEE76867ECB3497E75A
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 105302 TANGKAHAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/90D80D494CB5BEFA64A6
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 106168,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/48535B585ACD571FCBC2
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 106818 LUBANG IDO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AA73D8D599F917111BF3
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 107406 JATIKESUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D18C2C4BC8370F2D5E7
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 107407 RIMOMUNGKUR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/63BB9D9438B8437D2C86
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI 108027 DESA DELI TUA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/98E8FA662FBB2E670644
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,UPT SPF SD NEGERI NO 101804,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5792247519B0D9B8D187
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SD BINA KUSUMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A3C0D571778BE0B037A
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SD GKPS PASAR III DESA NAMORAMBE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D83304AA68DA40FC2979
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SD KRISTEN PNIEL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BBBA7700D171FE6EC8E5
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SD PLUS DARUL ILMI MURNI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3A73645D9C032FE28699
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SD RK FR XAVERIUS,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0AFB1D3767CD49941BB
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SD RK ST DANIEL BATU MBELIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CBE0D7068891C6F1A9FA
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SD RK ST MARIA NAMORAMBE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DA69E724F46A616F7AEB
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SD SWASTA CERDAS BANGSA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7AE131ED1F1842EDA66D
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SD Swasta Masehi Rampah,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4B6A4FD581AAF7387560
Prov. Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,SDS INTERNASIONAL PUTRI DELI ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22ED2883010FB39D2A3A
