provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 1 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0A5E7ACEC93459E5A051
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 10 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9669AFFBFB0084852A69
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 11 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1132752B86C35B81339C
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 12 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/73C76F98D90D5F8D0A74
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 13 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1BA928A74CEEFBA2D52E
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 14 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC70693DA636A5223526
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 2 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F92C784E3180696555E4
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 3 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5F73D3F813B05B3ED796
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 4 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1EA774A87FF781AD5C4F
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 5 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F020B3F0E627E54EB6C6
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 6 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/530FC375A36FA986DCA3
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 7 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E44A1ECD337927E49C1
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 8 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C913E79E5CB93FAEB789
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SDN 9 TANANTOVEA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC9E30B349FB7D4B1561
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SD ALKHAIRAT BALE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1D5C69F4A126E317CE04
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SD KARYA THAYYIBAH SUMBOLI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE682681EA86C3AA06A5
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SD MUHAMMADIYAH WANI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/251ABAB04F9A880E2258
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SD NURIS NUPABOMBA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AF133CD4EB4BBD611531
Prov. Sulawesi Tengah,Kab. Donggala,Kec. Tanantovea,SD PGRI NUPABOMBA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D821BB3A2493D97A05E7
