provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD INPRES ENDE 10,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A9A8FF97448D2EEE25F6
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD INPRES ENDE 13,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AFB6074CF54B99DB1E31
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD INPRES ONEKORE 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/98E354F3E9EEDF7D8170
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD INPRES ONEKORE 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F23DA005DB89DCBD36A9
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD INPRES ONEKORE 6,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BA3D09896E97D245299D
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD INPRES TETANDARA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1C716671F13E347CF789
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD NEGERI ENDE 5,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3195A50A682B1D1B925C
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD KATOLIK ENDE 8,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/00DE005B09B4105EB1DB
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD KATOLIK ONEKORE 1,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6A34AC0BE4EE301ED5D
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD KATOLIK ONEKORE 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2F4A241E1D419078A135
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD KATOLIK PAUPIRE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/525205C58D88D032872A
Prov. Nusa Tenggara Timur,Kab. Ende,Kec. Ende Tengah,SD KATOLIK ST THERESIA ENDE 3,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F23F3F0660C7551C760
