provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 10 REDAK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6DC0B34C7C1F56FC2180
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 120 BAROKO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/94398C831CDDCB217506
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 121 TANGSA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/4306CEB8509138527E8E
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 149 LUMBAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8F7263EB7172206EF3D
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 167 BUNTU DAMA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/555840F24C8CBB115A02
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 178 GALITIN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/66D79ACD244EF77564BE
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 180 KALIMBUA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5993E4D2FE2094C0BBD6
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 191 BUBUN BIA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C7B9F1205371C9C8B2A3
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 3 BAROKO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EC839270445A81D319A4
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI 98 TONGKO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F8426F908380E763EAAE
Prov. Sulawesi Selatan,Kab. Enrekang,Kec. Baroko,SD NEGERI KECIL BUNTU AMPANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CC768301260D98B12F9C
