provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI 1 KARANGAN KIDUL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/22EC7BF87FCFBDC6ECF0
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI 1 KLAMPOK ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ECEA62868234EB8FE74D
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI 2 KARANGAN KIDUL,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FB864F48CDE2EC2DE66C
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI 2 KLAMPOK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D63D8E781FA05BBDD107
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI BALONGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CBA8017F597D240576F9
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI BALONGTUNJUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/36D0E549CF0D843FD4BF
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI BANTER,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/581A50C69670D4C6E111
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI BENGKELOLOR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/23EA79CDF72998D0D98B
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI BULANGKULON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B65B9C891A412CCD1D20
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI BULUREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/45B60E86DCE9D2B23E08
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI D E R M O,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B0D94662CEFD47631245
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI DELIKSUMBER ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9A705B9B4F6A48D9CB03
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI GLURANPLOSO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3405D02DA44BE37B4723
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI JATIREMBE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9AD8C1018A6E131AA698
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI JOGODALU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6637A92457F1FFCCC853
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI KALIPADANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/63554ED43BEB96CF7B86
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI KEDUNGRUKEM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/79668273BBB6475EF79D
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI KEDUNGSEKAR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/88C660E5DACB07C06F05
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI LUNDO ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2004B166F54EAE94B29E
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI METATU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1117D5AD620B6B9AFFC9
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI MUNGGUGEBANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F60F980EE4231DB5F98
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI MUNGGUGIANTI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D7AAC7C0AA42E29498AC
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI PUNDUTTRATE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/575AF5318E2E5DB55111
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NEGERI SIRNOBOYO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/335C97ADEDCEDF959028
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SDN SEDAPURKLAGEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/75C9ABE7DDB2DB860FB0
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD MAARIF NU 45,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8F9E926E6BB34F267D92
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD MUHAMMADIYAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0FFDB643969EB547D6E0
Prov. Jawa Timur,Kab. Gresik,Kec. Benjeng,SD NU MUNGGUGEBANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/45D80D35714ED05E589E
