provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI ABAR ABIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/985B507A91E509BBEFCC
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI BEDANTEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6918895980D66E106237
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI BUNGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DAD0651ED323D786577C
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI INDRODELIK,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/794DE230D6874DB99760
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI KEMANGI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EBA0F760620E910BC6B4
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI KRAMAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3E6BFE486E7AF810E914
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI MASANGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/13C816952F5B7BE77A10
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI MELIRANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AD8BFD3422E406C1FEF8
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI MOJOPUROGEDE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F9BC4BDE431AABC1CE2D
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI MOJOPUROWETAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B64B609A293FCD945348
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI PEGUNDAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/538C9564B6299EC66F27
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI SIDOMUKTI BUNGAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/72900F1D7F49A1021473
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI SIDOREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/FE0A8CD22A754A47AF96
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI SUKOREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EF37EC967E40BA09E7C0
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI SUKOWATI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8A691BD4D310F46835AB
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI SUNGONLEGOWO I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5C3469372F595D60D5BE
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI SUNGONLEGOWO II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5DAE827F4EB2CE3DF12E
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI TANJUNGWEDORO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C1230B7BDA42B75DF41
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD NEGERI WATUAGUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CF8591322ED2239BB321
Prov. Jawa Timur,Kab. Gresik,Kec. Bungah,SD MUHAMMADIYAH MELIRANG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D468EC9320CB96CA1DE6
