provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 1 BAMBE ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/73B078E65554483C1F81
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 1 DRIYOREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D1D42BA4C7916083BF1
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 1 KARANGANDONG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF182071E547E15A4007
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 1 KRIKILAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2621D8EB38AB164FF6D9
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 1 PETIKEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6D10F83ACA65F494DF63
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 1 SUMPUT ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/695E7784BB7BC93B6393
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 2 BAMBE ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/0D9281B91A93235F6D0F
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 2 DRIYOREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/714C50FC3F71FF117DE3
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 2 KARANGANDONG ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5A4F98F1DA620F000DF4
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 2 PETIKEN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/49E065F536FB01A1354F
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 2 SUMPUT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/75197FD530302CEA67CE
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 3 BAMBE,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7D53EB93E7D117B3B3F7
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 3 KRIKILAN ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BFBFEA850E04E8A82724
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI 3 PETIKEN ,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3FD14BBF14A611E24BE8
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI BANJARAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EEC6AC7B47880873C9F6
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI CANGKIR,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/63D383226C94EBD3FA7A
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI GADUNG,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EB22E5D75DB4442B8463
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI KESAMBEN WETAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5852D91AF7E76CCDA4FA
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI KRIKILAN II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/8D656FDC08FDC086E5B4
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI MOJOSARIREJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/15A716E8E3671D980DEE
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI MULUNG I,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B841BF6F6FCCE92C0F52
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI MULUNG II,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/46145AE763211CEC151C
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI RANDEGANSARI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5EB23641F01822142F48
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI TANJUNGAN,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/411E97DB6E09E94A7476
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI TENARU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/968745D6072E769D687B
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD NEGERI WEDOROANOM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1F5C8F8F5E468ED89C66
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD AL FATAH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F058A9370DCDA77E84ED
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD AL FURQON,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/E0A24B0D5A49D85173CC
Prov. Jawa Timur,Kab. Gresik,Kec. Driyorejo,SD AL-FURQON 2,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DCE4DCE64D2A2A7983B8
