provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN BANYUBENING I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/832803FEDEE5611D4CE2
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN BANYUBENING III KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EEB921203D3A5D235F52
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN BENDUNGAN I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/F9984DFB667E6ED51FD4
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN BENDUNGAN II KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/651F413A578AE50FA6B3
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN BENDUNGAN III KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/03C579B5570AC6CA7244
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN CANDI I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D274DAA7D68BC81A9EC9
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN CANDI II KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B67F7DB295F6AEBD690D
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN CANDIBARU I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DE09F80CACA36AC42B1B
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN CANDIBARU II KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A46A0770A3E33E537A41
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN GEDANGAN I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/34E0F86AEA995D503AE9
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN GEDANGAN KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/45F1CDF2BF5DD1309121
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN GELARAN I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/BF1CE4524A1821A7515A
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN GELARAN II KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/7484CDE6D1D253E198FD
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN GELARAN III KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2FD75FAD75C4D21209CF
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN GROGOL I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A039614110D2D7A85BF0
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN GROGOL IV KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/27949D5C26AB8E2D3EBD
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN JETIS KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/9D7CF779B561D69370AD
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN KARANGANOM I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/C7A48A3CA502889B6988
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN KARANGANOM II KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/CE65C7A2027A9E8706CC
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN KARANGDUWET I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/D8EBA586EE9C161F9536
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN KARANGDUWET III KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/394ADCE01E40DEBCAC46
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN KARANGMOJO I KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/056295208E2EEF30ABEB
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN KARANGMOJO II KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/016A0F75ACB712287298
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN KARANGMOJO III KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B237AE1CC45129BCAD35
Prov. D.I. Yogyakarta,Kab. Gunung Kidul,Kec. Karangmojo,SDN KARANGMOJO IV KARANGMOJO,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2EBDA74165C8BF390858
