provinsi,kab_kota,kecamatan,nama_sekolah,url
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 001 SAPAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DD43AD3B1D7E48A7DEA9
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 002 SAPAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/AE24933C3C632E30FF6B
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 003 TANJUNG LAJAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/ABB8703200DDEE505467
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 004 PERIGI RAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B8C147B139EAB3E71C85
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 005 Sungai Bela,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6F460A29F022E701A848
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 006 SEI BULUH,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/3C173D7EDB2344B4947F
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 007 SUNGAI PIYAI,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/5B8155AA8399B881C2F9
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 008 TANJUNG MELAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B2793D31395D840757E0
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 009 TELUK DALAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/DDF63FEC7EB42B23A104
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 010 TANJUNG MELAYU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/09DA3ABC17938973D40E
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 011 TELUK DALAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B6570BD9B12F81669E32
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 012 TELUK DALAM,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/B9D9BC8A9AFB0279CBD9
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 014 TANJUNG LAJAU,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/A827BF541823ED8ADBEC
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 015 Sungai Piyai,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/44D1E825BD29FBA8EB41
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 017 Sungai Bela,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/2C5ED8D7D4CC49519CE3
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 018 SUNGAI BELA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/28AE5FA04A142BDD013D
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 019 Tanjung Lajau,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/6814F417AE1BDCEAA3D8
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 020 SAPAT,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/EDE7A5879D93365FD065
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 021 PERIGI RAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/696BBE741DD4B96DFB97
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SD NEGERI 13 PERIGI RAJA,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/31B31B8642AE4650333A
Prov. Riau,Kab. Indragiri Hilir,Kec. Kuala Indragiri,SDN. 016 Perigi Raja,http://dapo.dikdasmen.kemdikbud.go.id/sekolah/1BF08414CB6F68E1A698
